Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
d224e25b63fa5219f9f1bb1453185a32bf2a20b1,2019-03-14 13:57:47 +0100,753.9126389,147.5161921,0.0142708,148.7001157,149.8401273,1,33,1,1,137,1,457,1,NAO,0,0
7065c4318f27948fe3536040001067b9140f2806,2018-10-15 19:08:33 +0200,526.0986227,226.6488310,0.0107523,227.8104977,227.8247685,1,32,1,1,48,1,104,0,NAO,0,0
1a5dca8644bebdf8a3335c28ddeeed2e4b3f0654,2018-03-01 22:36:22 +0100,401.8208333,120.2643866,0.2736227,124.5406597,124.5514120,1,24,1,1,56,1,162,1,NAO,0,0
1e098234eaa10bafb28fdb9d6a35e31f56df3454,2017-10-28 16:56:21 +0200,353.9244907,46.4923611,0.0068287,47.6295486,47.9031713,1,9,1,1,22,1,31,0,NAO,0,0
5a2ffe4a38a41f882978441381400a06bcf6a4ac,2017-09-10 13:25:37 -0400,245.7770023,108.1320602,5.7393634,113.8800231,113.8868519,1,27,1,1,112,1,158,1,NAO,0,0
2798861cae202006e640bc6801b063b454af9138,2017-05-25 15:34:04 +0200,140.0416435,98.8972338,4.8727546,104.8687500,110.5948032,0,23,0,0,75,0,275,0,NAO,0,0
57797a93cdd79ffd0f554c6053cc8d18b1fd98b4,2017-02-08 21:14:19 +0100,51.9438194,82.9785648,0.7799537,84.0050231,88.8777778,0,19,0,0,61,0,67,0,NAO,0,0
0515700ea24eb442e54a41b1bee6e12876f88cce,2016-11-12 18:53:27 +0100,0.9874190,49.9567014,0.0019444,50.1783912,50.9583449,0,13,0,0,58,0,154,0,NAO,0,0
cfb4c40b46183818960245a4add21c9695905bdf,2016-10-24 19:42:12 -0400,7.0727546,56.2168403,7.4569560,54.2702431,55.3596759,1,19,1,7,87,8,167,1,SIM,2,3
d407da4e366263ab32ca674c814106097af9d2af,2016-09-24 22:31:29 +0200,3.2517593,0.0000116,7.2759375,7.4462616,7.4507060,6,1,1,15,2,24,3,1,NAO,0,0
ba133876c2ab36d40ad3d7284ec0d371503c6629,2016-09-24 12:06:45 -0400,0.8710301,0.2618056,1.0059491,0.2626852,1.0142130,3,1,0,6,4,6,13,0,NAO,0,0
edc22cad722ca5578321852fad374b14a51c5b95,2016-09-23 20:20:01 -0400,0.2212269,0.0149884,0.3561458,0.2435301,0.3567593,1,1,0,1,2,1,2,0,NAO,0,0
57d8ab2e03288b0f87e57e4139e6a9121ce65c21,2016-09-22 20:56:14 +0200,0.0000000,0.0000000,0.3729630,1.3584375,1.3603819,0,1,0,0,1,0,1,0,NAO,0,0
56845d3cbb9c2b447505dcaefa38c72b21eef26e,2016-09-15 23:19:47 -0400,7.0276736,0.0000000,0.0434144,0.1798380,0.2567593,1,1,0,3,1,14,1,0,NAO,0,0
b5544d1a1b1241c41006014a57a17f5d2eceb854,2016-09-15 18:12:34 -0400,12.0694213,0.0000463,7.3523264,0.3681134,7.3957407,6,1,1,17,3,41,14,0,NAO,0,0
d8b13ca4ab79421a225207aa7dd2353c499c420d,2016-09-12 19:37:50 -0400,7.8167708,8.5078935,7.8194097,8.6495139,9.3136690,6,1,0,9,3,24,1,1,NAO,0,0
