Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
0fd0361ed9dbf7f8471d513fd991da8d0e774cbc,2017-02-18 09:18:16 -0800,0.0000463,0.0000000,20.4863426,17.7053356,20.4868866,1,1,0,2,1,1,1,0,NAO,0,0
ec3fa7239e48e84873de7b034692389bb48bcb5e,2016-10-20 10:51:07 -0700,0.0003588,0.0000000,9.0802546,8.2420023,9.0806829,1,1,2,2,1,1,1,0,NAO,0,0
51d08f92bdfe973b197c809b376ed5c6fd30956c,2016-06-13 11:29:42 -0700,0.0000000,0.0000000,0.0126620,0.0097917,0.0130324,1,1,0,1,1,1,1,2,NAO,0,0
1d678a7cc531be23219b72552c257ea3f368ca38,2016-05-04 17:27:30 -0700,14.5219560,0.0000000,76.9487269,42.8489583,76.9513657,2,1,0,6,1,4,1,0,NAO,0,0
18dd2b97bac6a95cbbf40d17051640170a53e752,2016-02-11 11:43:39 -0800,20.9800000,0.0000000,30.2120023,2.9069907,40.1183102,2,1,0,4,1,10,3,1,SIM,1,0
223b4f53622716f3db9cb6776896e5adc2df2dd7,2015-12-14 11:15:49 -0800,414.4264352,0.0000000,305.6688194,302.2270023,305.6704282,13,1,0,50,1,131,1,0,NAO,0,0
0d639efa9b78775bef6b1b5c59d6e7da31e85e72,2015-11-09 19:57:48 -0800,5.9743634,379.3266088,9.0799769,18.9154398,19.3793634,2,5,1,2,23,3,102,0,NAO,0,0
d72a4ea7810bd2daf0a7016cebca0f71608a056d,2015-11-09 09:00:00 -0800,379.3266088,0.0000000,128.5722685,34.2042824,128.5793866,8,1,0,31,1,123,1,1,NAO,0,0
347b1b4a34d0bd774e8f7137cd72037992ae485f,2015-11-02 10:23:28 -0800,986.5648611,0.0000000,346.4422685,11.4420949,354.0359028,25,1,0,152,1,144,3,1,SIM,1,0
9edc7f2f5a9fecb3cdec8e4292e09b62d8006f78,2015-10-25 20:46:20 -0700,986.5323380,0.0000000,367.4142477,2.6487153,367.4312847,24,1,0,151,1,143,3,1,SIM,1,0
7523dba0edeb5567a79b0a10a2a3e718c5b25574,2015-10-25 20:18:56 -0700,259.8200810,0.0000000,202.0007292,29.8054745,202.2018519,8,1,0,29,1,52,1,0,NAO,0,0
82a26bf72b8faaa5544e7636ebb9429dc934c876,2015-10-24 08:57:36 -0700,257.7509838,0.0000000,111.7389815,109.5542245,112.5360532,5,1,1,17,1,36,2,0,NAO,0,0
ca6e944aebcfa59fc4766851f5b5d28f79a8cba6,2015-10-22 13:35:16 -0700,327.3466088,0.0000000,257.0003472,0.2618403,257.0027199,12,1,1,37,1,55,5,1,SIM,1,0
35ca58b21a0a42fb85d829a393b7aa82b84254e9,2015-10-22 13:27:56 -0700,250.8203819,0.0000000,251.6535532,47.7304514,252.7205093,8,1,0,19,1,32,4,1,SIM,1,0
ceccf9f2661790ce324e90fd1493ea274a33e1a8,2015-10-21 11:44:01 -0700,211.1634722,0.0041088,197.8080208,0.2899653,197.8442708,6,1,0,10,2,12,1,0,NAO,0,0
6a27427bc71be1cb82cb1b0c74d56b6fdc8a0a13,2015-10-21 10:51:23 -0700,33.1200926,0.0000000,109.5859838,48.5873032,109.6150694,1,1,0,1,1,1,1,0,NAO,0,0
4df4091e5660d10f7672828807011d513c6ff7f4,2015-07-03 19:59:48 -0700,141.1589468,10.8347569,141.9921181,51.2833796,141.9926389,5,1,1,8,2,10,3,1,SIM,1,0
a6c77a86bb791f37dd82a1b23c601db2b6730622,2015-07-03 19:58:25 -0700,93.7892014,0.0000000,88.1864931,36.1953588,88.1876042,2,1,0,2,1,6,1,0,NAO,0,0
52be8c5b9d1c314ddc917e443dba16faf4049a89,2015-07-03 19:56:49 -0700,95.6458565,0.0000000,96.4790278,48.2013657,141.9905671,2,1,0,5,1,2,5,0,NAO,0,0
7edaa2a2437168266cf5525bc00ed204b27c71f2,2015-02-08 09:20:49 -0800,59.8844560,63.1075000,25.8425000,18.6037384,26.7101852,9,2,0,17,8,35,11,1,NAO,0,0
aa8605bf578c7f909f69d7fcc29a2bc20aaaaa9b,2015-02-07 12:31:21 -0800,59.8184375,46.9048958,25.7764815,25.8209722,25.8425000,3,6,0,4,13,3,32,0,NAO,0,0
01bdf124080e62a489d712c6ebccf576495e44d8,2015-02-07 10:56:17 -0800,58.2618634,0.0000000,59.9410069,0.2125463,60.0309838,4,1,0,5,1,11,1,0,NAO,0,0
d908bd1fdef1742fefce7377d0b9b79d9b35eba6,2015-02-07 08:46:43 -0800,38.9859028,0.0000000,59.9388426,1.6791435,59.9410069,3,1,0,4,1,10,1,0,NAO,0,0
9a46f23c5ef08f0317710bd4449a73aab929d7d6,2015-02-07 08:43:36 -0800,0.0000000,1.0819907,13.3015625,15.7131713,38.9859028,1,1,0,1,2,1,1,0,NAO,0,0
ffc1fe9494ff1eb251f405e78e6546b3017651fa,2015-02-07 08:41:44 -0800,38.9835069,0.0000000,59.9364468,13.1705787,59.9375463,6,1,1,13,1,37,3,1,SIM,1,1
