Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
2b3a9414570af623853ca0f819c7d77d0511f22c,2016-03-18 19:47:15 -0300,3.9368866,0.0000000,4.0476852,4.3210880,4.3462384,13,1,0,18,1,43,1,1,NAO,0,0
9332497701f2c69bf0bb6d38ce59a51ca7abe78d,2016-02-11 12:29:09 +0100,4.7642708,0.0000000,5.1307407,5.6270718,5.6375231,10,1,0,18,1,59,1,0,NAO,0,0
200e06a5ee01a5fb7c8d83dfbc59427db59798c2,2015-06-19 11:01:31 -0600,0.0000000,0.0000000,0.6085880,0.8301157,0.8583218,1,1,0,1,1,1,2,0,NAO,0,0
9851e54121b3eebd3a7a29de3ed874d82554396b,2015-06-10 21:41:48 +0800,4.9062384,0.0000000,4.9583796,4.8610417,5.0422569,27,1,0,42,1,107,2,0,NAO,0,0
d58816bd6bf93a878085d35d3ed4609efeb0acfa,2015-06-06 13:41:00 +0100,0.5228819,0.6276273,0.6932870,0.6715162,0.6961806,2,1,0,3,3,4,5,0,NAO,0,0
fe21fb810a1bd12b10c534923809423b5c1cf4d7,2015-06-05 11:10:28 +0100,1.0443634,0.0000000,1.3633912,0.4956366,1.3682407,12,1,0,18,1,54,3,0,NAO,0,0
1f28521e0ac81dcc660a5b9891f45a20306e093a,2015-06-05 10:33:03 +0100,0.6701042,0.0000000,0.8251852,0.7790509,0.8278241,8,1,0,11,1,43,2,0,NAO,0,0
20a98d863f00fc48f9c7fd783d8d0539c6be41f5,2015-04-09 10:04:30 +0100,0.0090046,0.0000000,0.3125926,0.3377431,0.6629514,2,1,0,2,1,11,2,0,NAO,0,0
180f75c2a0d15e54a7088bd5cb7a57342da5661d,2015-03-08 10:25:25 +0100,0.0852778,0.0000000,0.1571644,0.8334375,0.8421412,3,1,0,3,1,9,1,0,NAO,0,0
936e87c97ba57c75708a240d9bfe71215d84faa3,2014-12-22 00:41:13 +0000,1.0474190,0.0000000,0.9629167,0.7692477,1.1090972,2,1,0,2,1,4,3,0,NAO,0,0
653a3a4e18134803bf9cbe8668bcdd678844c995,2014-12-21 15:19:29 +0100,0.0000000,0.0000000,0.1497454,0.0652431,0.8270833,1,1,0,1,1,1,1,0,NAO,0,0
0fc188251069b73b293f79dba6f3e9e331ad7e91,2014-12-14 17:29:34 +0100,0.0000000,0.0000000,0.7477431,0.6153241,0.7761227,1,1,0,1,1,3,1,0,NAO,0,0
05e0e4674ce9995a1dc5962001747abce30e4f69,2014-11-16 12:25:05 +0100,0.8715972,0.0000000,0.6165394,0.0379167,0.7003704,7,1,0,7,1,11,1,0,NAO,0,0
4024dd0c98d71647b2001f186a92242314c987b2,2014-11-16 09:24:22 +0000,0.9328588,0.0000000,1.0189468,0.1761111,1.0211458,16,1,0,19,1,75,1,0,NAO,0,0
d30a131119c34ba166ccb7b01bc6201caa6f0831,2014-11-16 09:21:12 +0000,0.8787847,0.0000000,0.9648727,0.1495486,1.0189468,15,1,0,18,1,74,1,0,NAO,0,0
1ed9b9e2e2b62f6ef89558f98d786e9fcd649152,2014-11-15 18:56:52 +0100,0.0743866,0.0000000,0.1105787,0.0460185,0.1450000,5,1,0,6,1,19,1,1,NAO,0,0
9a5a4361c577d14cad303019f14ebc6d1ec01674,2014-11-15 15:37:03 +0000,0.0614583,0.0000000,0.0651736,0.0589005,0.0706134,3,1,0,3,1,48,2,0,NAO,0,0
39e3ef88c237e3f4cedc89cd36494a6d3f490812,2014-11-15 14:55:22 +0100,0.0052083,0.0000000,0.2078356,0.0860880,0.2093403,1,1,0,1,1,4,1,0,NAO,0,0
a305695f28cb15165a19c3871aec878a230a5105,2014-11-13 22:10:22 -0500,0.4378588,0.0000000,0.9010069,0.3387153,1.2306019,4,1,0,10,1,15,3,0,NAO,0,0
1e3bfcaf12405ebc7d55955418588d8a5a81a302,2014-10-16 02:39:38 +0700,0.0000000,0.0000000,0.1631713,0.1554282,0.1689699,1,1,0,1,1,9,1,0,NAO,0,0
4443c6f6d8e481db8142e79391ad0b65ebcf46e3,2014-10-15 20:02:45 +0700,0.0000000,0.0000000,0.6278588,0.8436343,0.8674537,1,1,0,1,1,2,2,0,NAO,0,0
6f6e7d01dce94668e178b26da547c4643ed3a6cc,2014-10-06 14:06:33 -0600,2.4272801,0.0000000,3.9120602,2.1700926,4.0167014,11,1,0,15,1,25,3,0,NAO,0,0
844ba211ceea11ad2aa81f6a55c518228dd33a53,2014-10-06 11:28:11 -0600,1.9972338,0.0000000,2.2135764,2.2143981,2.2262616,8,1,1,8,1,21,1,0,NAO,0,0
58eb4ce002aaa0431cdcc3026527051ac2fa18d5,2014-09-02 14:01:09 -0500,7.2246181,0.0000000,8.0102083,0.9043750,8.0701273,24,1,1,61,1,112,1,1,NAO,0,0
152afadef12e3dcb9ce92567d2e58269749d63b9,2014-08-18 13:33:02 -0300,4.9569213,0.0000000,4.9675116,2.1096412,4.9943403,18,1,0,36,1,84,1,0,NAO,0,0
9fef66ef7c3dbb156d0b235261ec499f81494eae,2014-08-15 17:21:01 -0600,0.0000000,0.0000000,0.0562963,0.0440046,0.2255440,1,1,0,1,1,1,2,0,NAO,0,0
63058786882f6a32649a0fdafae9cb425c95cd4e,2014-07-26 14:39:14 +0200,0.0000000,0.0236921,0.1075926,0.0523958,0.1380787,1,1,0,1,2,2,2,0,NAO,0,0
ed4812692e3a103444303b0a3dd1429bbdf9511c,2014-07-25 08:53:57 -0700,3.0681713,0.0000000,3.5973958,0.1245023,3.8265278,10,1,0,22,1,32,9,1,NAO,0,0
f751109cb240290cb946f8d4def0c7a5fb92569b,2014-07-05 16:37:10 -0700,1.2208681,0.0000000,1.5607870,0.3116782,1.5636458,3,1,0,5,1,16,3,0,NAO,0,0
e4708385fde278fbbff5428f756632455c2bcaf5,2014-06-17 14:10:40 -0400,0.0241204,0.0000000,0.0410417,0.0181713,0.0926389,2,1,0,2,1,4,1,0,NAO,0,0
66a99fa21076529a5e71996a8862597284403727,2014-06-17 09:54:39 -0700,0.0000000,0.0000000,0.3477894,0.3647106,0.3876389,1,1,0,1,1,8,3,0,NAO,0,0
dd57b89fcb8f009fc73f16efea9539e5888eb59d,2014-06-15 10:16:33 +0100,1.2228819,0.0000116,1.2513194,1.0163194,1.8512731,8,1,1,15,3,87,4,0,NAO,0,0
1181b8a4a95551659be6737e41e9fc9d23eb8df4,2014-06-06 14:05:41 +0200,7.8338079,0.0000000,2.7727431,2.4217593,2.9969213,13,1,0,22,1,56,5,0,NAO,0,0
5826dc52827254f44833acf678f429af94b4d636,2014-06-05 20:29:26 -0700,8.2982292,0.0000000,7.9070255,0.4139468,8.1134259,28,1,0,46,1,115,6,1,NAO,0,0
