Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
302a6152b4f655bf7f49fe32f5b5676483efb159,2018-10-23 20:38:42 -0400,1072.0699537,281.1561690,4.0028125,366.0385069,378.9051389,4,11,1,44,48,38,36,1,SIM,8,10
62e12fe7105b552e70f32a9b288dcaf695f04737,2017-10-13 22:27:30 -0400,1072.0372338,14.0815278,18.8802778,14.9101852,18.8908796,4,8,1,42,36,38,34,1,SIM,11,13
19c8d64855d83e24164bc83e40ebacc24179f32a,2017-09-25 01:07:08 -0400,1004.9578125,38.1256713,0.9263773,49.1255208,49.1272569,4,2,1,40,14,38,6,1,SIM,2,3
c319fe260ade6c05321948960cb9185fdbbf2487,2017-08-07 19:33:00 -0400,850.5176042,149.8935995,0.0064815,153.5203125,154.4155324,4,11,1,38,53,36,96,1,SIM,10,7
e5dbb0cb4e3a1a8cb7278e889d09156ec34d13e4,2017-03-06 08:40:02 -0500,845.9394907,4.6183449,0.0619329,4.6335648,4.6373148,4,4,1,37,14,36,34,1,SIM,5,5
501e24e0a941fb43b1d0b4a0363386111535cd31,2017-03-01 18:17:04 -0500,814.0853241,24.8600463,0.2083912,32.0006250,32.0386574,3,10,1,35,42,35,34,1,SIM,9,7
bcbb9d56c57ab7ad20b3be52fe8191145ab48016,2017-01-28 21:02:36 -0500,813.1493519,181.4217477,225.5763542,226.3039352,226.4575463,3,6,1,31,24,35,17,1,SIM,4,4
1dbfee66235c6a4e2f8e440264f71f31ddbe75d4,2016-06-20 00:37:34 -0400,441.0484606,126.6541435,0.0122569,146.5367940,150.1019560,2,10,1,28,43,34,31,1,SIM,7,7
7cafdb5824a15a26fe10a3599f26ab84698093d8,2016-01-21 21:23:07 -0500,242.1772917,181.0234838,0.9966551,199.8555671,199.8641551,2,9,1,26,53,34,16,1,SIM,3,3
9848645a8e2d5b3c02d54cab4070d51710603d3e,2015-07-31 16:56:22 -0400,607.9860185,3.7538426,22.9396528,25.6400579,25.6687153,60,1,1,506,6,191,2,1,SIM,2,5
