Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
819368a52dc9eb0ba4e20195783f2807872dabad,2019-05-06 15:23:35 -0400,2.1675694,0,20.9710764,20.8633681,21.0384028,2,1,0,5,1,2,15,0,NAO,0,0
42b67a1f95b9055735d28d51c07a70c7523a4f24,2019-04-11 19:11:21 -0700,0.4625116,0,53.040463,89.5443519,89.5619792,1,1,2,1,1,1,1,0,NAO,0,0
86bf9dca72cd188813e26ef5dd972101ef8983cf,2019-02-24 06:33:44 -0800,0.0209606,0,28.4411806,29.8635301,30.0255787,1,1,2,1,1,1,3,0,NAO,0,0
a74864ec229141784374f1998324d2cbac837295,2019-01-07 10:00:10 -0800,255.815,0.111794,0.6054514,0.7280208,0.7291551,39,3,1,65,3,61,5,1,NAO,0,0
4f3dbb3f3b0063b3ea14f6f2e73263defe70fde2,2019-01-06 16:33:17 -0800,255.1792477,0.013287,0.0023032,0.0326042,0.0347569,38,2,1,63,2,61,3,1,NAO,0,0
ac6746d1be45db54aa97334396b7bf89e6926ada,2019-01-06 15:46:33 -0800,254.964213,0.2078819,0.001412,0.2141435,0.2164468,38,7,1,63,9,61,11,1,SIM,1,1
b2765893e6bd64787ab14b1d67eb7d29314f1bdf,2019-01-06 15:11:30 -0800,0.0002894,0,0.0043866,0.0073843,0.0079861,1,1,0,1,1,1,2,0,NAO,0,0
3b45b82ec2640d4b0f4ffb9f0f7c898bd3d37b3b,2019-01-06 10:36:54 -0800,254.7900579,0.1686921,0.638206,0.8109491,0.8123611,38,8,1,63,10,61,13,1,SIM,2,2
a656025c3bbedb1d8092e553cc799bcde375db3a,2019-01-06 10:34:52 -0800,0.0054282,0,0.0114468,0.011088,0.0177546,1,1,0,1,1,1,1,0,NAO,0,0
aef4159588be8bc245243c80e5032ccc79092f42,2019-01-06 08:11:39 -0800,0.061412,0,0.703669,0.7046181,0.7114931,4,1,0,4,1,5,2,0,NAO,0,0
446cea9221e4f6d368a02a90cd105db0f8c9c7c9,2019-01-06 08:00:23 -0800,0.0250231,0.0297685,0.6672801,0.6978819,0.703669,2,2,0,2,2,2,3,0,NAO,0,0
7e65f1c5f13f7f721c64f551d0022f6907a35b40,2019-01-06 07:07:59 -0800,0.0043634,0,0.6466204,0.660787,0.6672801,1,1,0,1,1,1,1,0,NAO,0,0
f7d50d4b673c9bf1a729f7d5fb04cf092542db3b,2019-01-05 15:12:17 -0800,253.1297222,108.2529514,204.4612731,205.4834028,205.4870023,36,5,1,61,6,56,11,1,SIM,1,4
15c079f500967543c033ddeb113febc1d84abc87,2019-01-05 15:07:06 -0800,53.168912,0,72.2998727,72.2049421,72.300162,2,1,1,2,1,5,2,0,NAO,0,0
1096e226ccbae8135085322fb006a01836a19dcb,2019-01-05 15:06:41 -0800,0.004213,0,19.1351736,72.2948264,72.2998727,1,1,0,1,1,1,4,0,NAO,0,0
d5665e4ba6cf4f7eabdc0be047952a27965a455f,2018-11-28 22:25:21 +0900,54.8914005,0,55.0865509,1.5024537,69.8498495,11,1,1,14,1,21,1,1,NAO,0,0
dcc02d6e7d4bf486e64aa5b6e55a75501c2ba2e5,2018-11-13 14:06:12 -0500,9.6410995,0,16.9162731,2.1649306,16.9236458,4,1,0,6,1,4,1,0,NAO,0,0
70b45094ab3d62b919a84f8fb8376e6614a98dd3,2018-10-23 08:27:46 -0700,20.4285417,0,22.2443171,32.0447685,32.0985417,3,1,1,3,1,2,1,0,NAO,0,0
345685c0143f030eda443d6c672ae1b705789027,2018-07-20 10:42:09 -0700,0.0055556,0.0236227,20.8604514,11.766169,20.8702315,1,1,0,1,2,1,4,0,NAO,0,0
0bb25eb3673904179e772f4b7376ecc7fbe4822f,2018-06-28 22:23:08 -0700,8.0718403,0,10.4434954,10.9769329,11.0688773,3,1,1,4,1,4,1,0,NAO,0,0
b6edad64aadd5cb0085f8979fffdfd90614b045f,2018-06-28 07:22:35 -0700,8.0716319,0,10.443287,9.3433912,10.4434954,3,1,1,3,1,3,1,0,NAO,0,0
81c2a1e47565708f7af359503ff61f16558007ad,2018-06-28 07:22:17 -0700,7.6987037,0,10.0703588,9.319294,10.443287,2,1,0,2,1,2,1,0,NAO,0,0
161c43649d8c362c8359e0b79aeca40c754c5b51,2018-06-14 13:31:40 +0200,48.2388194,36.3552662,42.4551157,42.8847454,42.8852083,15,5,1,24,7,17,10,1,NAO,0,0
9c0e110e233f67f1853a4ab8e0521ed4ff8afa9a,2018-06-03 18:39:17 +0900,7.1340972,0,10.3840972,1.1544444,13.1125694,5,1,0,6,1,5,1,0,NAO,0,0
8080ead523740bbd79308c4524ec680d10db44eb,2018-05-29 09:42:43 -0700,4.2693866,0.4180787,7.5193866,8.3707986,8.4066204,2,1,0,2,2,2,1,0,NAO,0,0
79fc8e5c31cce79db0a2dbab9b9a3a46885cc450,2018-05-28 12:25:06 -0700,8.1013194,0,11.0146412,15.2449884,15.254838,3,1,0,4,1,4,1,1,NAO,0,0
a35a97e49daa500a6f2fc871da3bd5f658741689,2018-05-08 20:31:10 -0700,1483.2313194,0,9.0247685,9.0378356,9.0382292,132,1,0,438,1,262,1,0,NAO,0,0
9bee619320d31dbef3a63dc9a6d4b891d0984fb7,2018-05-02 07:28:38 -0700,4.276088,1.3618403,0.000162,1.5077778,1.5158796,4,3,1,10,6,7,5,1,SIM,1,1
35afec3f5ac1690e6599dd84ecdfdac3f9eb416d,2018-04-30 19:06:00 -0700,4.2733912,0.0018634,0.9761227,0.9786574,0.9788194,4,2,1,10,2,7,2,1,NAO,0,0
c26a50b3b7cbac701d9475a6762581ee53dc1696,2018-04-29 19:37:05 -0700,3.2812963,0.0002662,0.001875,0.0178472,0.0182523,3,1,1,9,1,6,1,0,NAO,0,0
9b6845f4362139c29483460f946ebe5de4c4db23,2018-04-29 19:36:30 -0700,1474.1889699,0,0.0325,0.050081,0.0503472,130,1,1,428,1,262,1,1,NAO,0,0
1fa9185c7e82ecc43b99d797af5584133458008d,2018-04-29 19:13:30 -0700,0.8070949,3.1631134,0.129537,2.6018634,2.6037384,3,8,1,9,23,6,17,1,SIM,1,1
81bde0db4b2a4ad97d88d36f3adcdfe7e04e3c25,2018-04-29 18:28:51 -0700,1474.047419,3.1306134,3.1476389,3.2566898,3.2600579,130,1,1,423,4,262,3,1,SIM,1,1
6b2127b1e0ef474aed91a25492e18a361ad7f364,2018-04-29 14:57:24 -0700,1.2972106,0,1.309294,1.3260532,1.3303472,2,1,0,2,1,4,1,0,NAO,0,0
4c8ec8f555af8aeba5a48c3c4cd9cc39c74dce8f,2018-04-28 07:01:42 -0700,0.0045255,0,0.0651273,0.8182639,0.8256019,1,1,2,1,1,2,2,0,NAO,0,0
5239458f28c5e3057f9987ceb2e6d33b9d9532d3,2018-04-27 11:12:50 -0700,0.0117824,0,0.0341551,0.0325463,0.0382755,1,1,0,1,1,1,1,0,NAO,0,0
f7ac3a7620dfcccec98a6836bc43b1704f289ba2,2018-04-27 13:57:39 +0200,0.1157292,0.6815046,0.1229051,0.6847338,0.6941319,2,2,1,8,7,5,6,1,SIM,1,1
216151c8a3c02e805fe5d1824708253f7e01e77f,2018-04-26 12:18:06 -0700,1470.8946759,15.9909259,152.8119444,152.8170486,152.8196412,124,1,1,402,10,262,32,1,SIM,13,16
e102e5cb3328e6a13aa8c1a1a492c54c4f6d7aba,2018-04-18 13:45:35 -0700,0.0526042,0.1646875,6.0303356,6.043287,6.0472222,1,2,1,2,2,26,2,1,NAO,0,0
abba4b2a74634bc33a85cf5d512de473f0a3bfaf,2018-04-09 01:27:25 -0700,0.0108565,0,0.0324884,0.034375,0.0452431,1,1,2,1,1,103,1,0,NAO,0,0
47a00864c35f3266fa098744c65496bec601977b,2018-03-22 12:06:05 -0700,0,0,15.9636343,15.9771644,16.1452199,1,1,2,1,1,1,1,0,NAO,0,0
03a2996bb89a0f35f82beb389788539ceb58ba46,2018-01-28 11:27:07 -0800,60.0156597,64.8435764,61.9610532,66.7811921,66.7856481,12,2,1,41,3,45,2,1,NAO,0,0
83b5625f0c1842a7837bc3326319a64b02a45e44,2018-01-23 15:39:42 -0800,0.402581,0,8.8123843,8.7985185,8.8138773,2,1,0,6,1,12,1,1,NAO,0,0
e21abd9da5fa755d3af96091ab3a181b7d6498b5,2018-01-23 15:20:16 -0800,0.0040394,0.3847222,8.5847106,8.7945255,8.8003819,1,2,1,1,3,3,6,0,NAO,0,0
8ff0cef6b9ecee2c0bc31774b33cb88632dc79db,2018-01-23 10:09:42 -0800,0.1701389,0,4.1812616,12.7619329,12.7659722,1,1,0,1,1,1,3,0,NAO,0,0
eebc0edfddba9687f82f4868f85714c0c7bb3d84,2018-01-05 13:32:57 -0800,33.345706,20.2457523,20.0327546,20.2631944,20.2669676,3,2,1,7,5,9,3,0,NAO,0,0
26f413e1e55d3b57fa164114b39f6cf74669591a,2018-01-04 13:04:29 -0800,32.5546991,0,0.9851736,0.9849421,0.990625,3,1,1,4,1,4,2,0,NAO,0,0
54f3d2131d2abd633288b4810eb95ba40b0a7956,2018-01-04 12:56:38 -0800,34.3999421,32.5392708,33.3906134,33.5118866,33.5273148,6,2,1,12,3,17,3,1,NAO,0,0
c2bac6de8c51b4ad687f04d5794ce9c6afdf38d8,2018-01-04 09:39:47 -0800,0.0081597,0,18.2565741,3.9043287,19.1050463,1,1,0,1,1,1,1,0,NAO,0,0
a43a439c7a839edc8c5ac7062acb694eceb99e55,2017-12-16 07:08:31 -0800,14.2844444,0,19.7613194,4.4675463,19.7624421,7,1,1,10,1,16,1,0,NAO,0,0
05e3840cc2a3ac6233edacc75fb38ff866d6bcbd,2017-12-16 07:06:54 -0800,1.4366435,0,1.7446875,1.7766898,1.7814815,1,1,0,1,1,1,8,0,NAO,0,0
27a7171d42c878d5d9094c0117466e862ff91000,2017-12-14 12:21:34 -0800,0.4340162,0.5588079,5.6901157,5.972419,5.9734722,1,2,0,2,3,2,1,0,NAO,0,0
eb1c2faf9f1fd785616203dc00f6dd680682dc38,2017-11-25 00:44:07 +0100,1318.0683796,0,192.6923727,192.7067245,192.7110995,112,1,0,312,1,155,3,1,SIM,1,1
470112dd6e708a18eb4ec1daa10c4ea276620dbf,2017-10-30 13:48:29 -0700,1.2079745,0,11.9693403,6.3187153,17.3712847,2,1,0,2,1,2,1,0,NAO,0,0
7e4e6eced3b0d3e48261f85e365108b82ee77610,2017-09-28 11:00:48 -0700,0,0,16.294213,11.1466088,16.2952199,1,1,0,1,1,1,1,0,NAO,0,0
7d4703e98ab64fa29f6ca50b72ca5a4548121bb8,2017-08-14 14:01:46 +0800,3.0487037,0,12.5925231,4.3460995,12.5929398,1,1,0,1,1,1,1,0,NAO,0,0
85fa8aabf5a7bd0adf204f0c2dacbba1fa6683de,2017-07-29 13:09:17 -0700,0,2.3421412,10.7338542,12.9637731,12.968044,1,2,1,1,2,1,3,0,NAO,0,0
851eaa4db7cef513dae35286d816867d68a72049,2017-07-16 13:55:18 -0700,0,0,1.6719213,1.7347222,1.7468403,1,1,0,1,1,1,13,0,NAO,0,0
d13e41ddefb89d42fda61caf5921dc60b66403e1,2017-06-28 08:00:08 -0700,0.016088,0,0.9185648,1.9239583,1.9253704,1,1,0,1,1,1,15,0,NAO,0,0
5b38fe2fbe6b40a004d39ea2094d0e0e7c830ea0,2017-06-14 13:11:53 -0700,0.0307523,365.8313657,0.2254861,0.2187269,0.2292708,1,2,0,3,5,4,4,1,NAO,0,0
9e39c506e0e20285f17409fc0d555f86c0ddac14,2017-06-14 09:58:33 -0700,1.0599074,1154.7104514,1.285625,365.8383565,365.9333681,1,131,0,3,348,2,168,1,SIM,2,2
e97f6e22e6edbe35d0826766aa0995ffec9b4d77,2017-06-13 06:28:18 -0700,0.6808102,0,3.0236806,2.34875,3.0240509,1,1,2,1,1,1,1,0,NAO,0,0
dbc70c9274e56968976abd94333f690627abb61d,2017-06-04 09:42:39 -0700,0.0108681,1143.9080324,7.2619444,295.2598958,296.1462847,2,114,1,16,295,7,150,1,SIM,4,4
49f3e96844b5dfb6459412aa68e3f25ab3a65514,2017-06-02 10:23:51 -0700,99.0708912,0.0533102,1.5441667,1.5509144,1.5552083,2,2,1,6,2,7,1,0,NAO,0,0
ea2e9609bcefffe000cc5a184ab78239cd65d95b,2017-06-01 06:40:27 -0700,91.2479282,595.2927662,0.0009375,6.2797338,6.6798032,1,9,0,1,38,2,44,1,NAO,0,0
a37f675ccb766c2d6050b5c812aa8aef71d85646,2017-05-28 07:25:15 -0700,1680.3665162,589.0297222,681.6301273,679.4884491,682.1826736,326,2,0,934,2,310,4,1,SIM,2,1
1ee439adff49b4560f930bea9aa12845962087c0,2017-05-27 13:46:18 -0400,0.0024884,0,0.0221412,0.0240046,0.0256366,1,1,0,2,1,1,1,0,NAO,0,0
a63a4cb034955f5d9c4b14f87a5337d94ba472a1,2017-05-25 15:00:03 -0700,355.9157407,53.8774653,0.0135301,0.0016898,0.0150116,4,1,0,12,2,6,12,0,NAO,0,0
090109b63772669f838d4786ce9a2483e75478c0,2017-05-25 14:57:17 -0700,719.7944213,0.0532176,0.1947569,0.0565625,0.2016667,9,1,0,21,3,15,3,0,NAO,0,0
63ddf2d47997299002cda290821909c02ca80675,2017-05-25 14:47:20 -0700,1135.0039583,77.8846296,356.0084838,77.9867708,356.0105324,128,1,0,296,2,155,1,1,NAO,0,0
c72e7c7c70f1553295022c70d5058ed11932c16a,2017-05-25 14:45:34 -0700,103.4327083,0,193.8914352,127.2789005,679.4884491,1,1,0,1,1,1,3,0,NAO,0,0
3acec5f801864e8a6fbac759e45569950dec719d,2017-05-25 14:44:23 -0700,719.7882407,2.7435185,3.121169,3.1241319,3.1253009,26,1,0,62,6,55,1,0,NAO,0,0
e6740ec2f3cda96a1f1c42f25875c0182ea99fd7,2017-05-25 14:40:52 -0700,0.6613194,1134.9998264,1.9896296,55.2040856,55.2057755,1,51,0,2,131,12,70,1,SIM,1,1
4eca29f68bba819494e91270ef27f9c2f4b57bb2,2017-05-25 14:36:06 -0700,1134.9880903,0,249.3150463,46.6759028,249.325162,95,1,1,216,1,112,4,1,NAO,0,0
d911c897eecda957a7887e3b47bcd19198e99c2c,2017-05-25 14:22:53 -0700,0,1134.9880903,5.3638194,96.6108102,96.6117477,1,61,0,1,152,2,71,1,SIM,1,1
31174fecd2dccd48aa56d4eefc7c808ae93d9262,2017-05-25 17:21:32 -0400,0.0009144,1134.9841667,0.0185648,719.7902315,719.7941551,3,190,1,8,440,2,179,1,SIM,1,2
90854c756a8ccbe0bedf35dd92eb7ff69f7401b1,2017-05-25 17:15:53 -0400,2.9280903,348.3671181,2.8644213,0.0088079,3.0096528,21,1,0,47,1,47,4,1,SIM,1,1
cb94f4c5d3d4e1797207fd03d20d06c7bc0d05b4,2017-05-25 10:46:45 -0700,0.6364352,0.5978125,0.6939468,0.7072454,0.7216319,3,2,0,3,2,4,3,0,NAO,0,0
a4ae7f4d3c1071ab91f0f49fc7b6558c47929e33,2017-05-25 10:06:53 -0700,0.6266319,0,0.0610532,0.061713,0.0708565,1,1,0,1,1,2,1,0,NAO,0,0
c5be20b53ca577be5569b1a327e88991f2ea69a0,2017-05-25 09:52:46 -0700,0.6230903,0,0.6420255,0.0764468,0.7030787,2,1,0,2,1,11,2,0,NAO,0,0
c62b614d9cbe813d7803c8ecfea2b7bf5a6eaab9,2017-05-23 17:31:44 -0700,0.0333796,0.0046181,0.0350463,0.0189931,0.0467014,1,1,0,2,2,1,1,0,NAO,0,0
849fc4b90c009d9bbbb604b2997d18340fb7ec2d,2017-05-23 17:14:57 -0700,0.0329861,0,0.0346528,0.0123264,0.0350463,1,1,2,1,1,1,1,2,NAO,0,0
f40617029a233217e66d2950bfa775f672398847,2017-05-23 16:45:47 -0700,0,0.2040509,0.0600926,0.0457176,0.0605093,1,4,0,1,6,1,7,0,NAO,0,0
39f7aaa41678bbd110365a55453dd5e395655bb8,2017-05-23 16:24:29 -0700,0.2016204,0.1079282,0.1173958,0.1195718,0.1198264,4,2,1,4,3,15,4,0,NAO,0,0
701faf0724d8aa18d7ed2907b63c143725dd3e7d,2017-05-23 16:20:59 -0700,0.1689815,0.0271875,0.0847569,0.108912,0.1173958,2,2,0,2,2,13,2,0,NAO,0,0
898c8621b175ade4c623ec61d04f24e02c05e0e6,2017-05-23 15:33:59 -0700,0.9039815,0,0.2807523,0.122419,0.2914005,8,1,0,14,1,20,1,0,NAO,0,0
ce813ae5214acc91b1686e09559bb3fdc28a74e9,2017-05-23 12:46:31 -0700,0.7664236,0,0.1431944,0.1367014,0.1751042,6,1,0,11,1,9,2,0,NAO,0,0
a037762781929a9a658250f3247bfd131d634b0e,2017-05-23 12:00:34 -0700,0.7599769,0,0.1367477,0.0327199,0.1431944,5,1,0,10,1,6,3,0,NAO,0,0
e2067649551033c74e7937b89af9a9874a96d279,2017-05-23 11:51:17 -0700,0.7594444,0.0100694,0.1362153,0.0935069,0.1367477,3,2,0,6,4,5,2,1,NAO,0,0
cd593bf117b7747c5c5b5aec8476315f9b2fbbdb,2017-05-23 11:50:31 -0700,0.7945486,0.7592477,0.7961806,0.8172106,0.8174074,6,2,1,10,4,5,4,1,NAO,0,0
