Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
e3a03c04c4530b06e77383fd73d2c43644dc832a,2019-05-10 15:16:40 -0700,8.0178009,37.0027431,8.0515394,0.0966435,8.1071181,32,1,0,94,18,305,32,1,SIM,1,1
4676c66b9a59bd06cf9b8d100b85d9b13258b9d7,2019-05-02 15:01:35 -0700,36.9184491,13.8669213,15.2200579,15.2175000,15.3043519,44,1,0,204,18,509,32,1,SIM,3,5
8af81d6a5a0df0c44552e152df47a2677394699e,2019-05-02 13:00:12 -0700,20.8874306,15.9704514,0.0645370,16.0832060,16.0955556,0,45,0,0,213,0,510,0,NAO,0,0
4f6908918463e6b415030780d474f82a7875bf60,2019-04-16 12:15:32 -0700,0.0000000,20.7302315,0.1371875,20.9600810,21.0246181,0,49,0,0,209,0,412,0,NAO,0,0
04923d330a041475ee28e1f901e89c42cd71ee0a,2017-05-18 18:11:49 -0700,7.0470255,0.0000000,2.3599074,2.3519560,2.3612731,13,1,0,51,1,208,2,0,NAO,0,0
7154ac48db627fc33a795384f6625fbeebd9cebb,2017-05-16 09:32:27 -0700,4.6414699,0.0000000,4.7030324,4.7486806,4.7492824,10,1,0,32,1,144,1,0,NAO,0,0
1fe118fe20c9b5c61096371ff5e22a8b2babc1ce,2016-07-27 13:04:54 -0700,0.0123727,0.0515509,0.1503125,0.0900347,0.1648727,2,1,0,2,2,11,8,0,NAO,0,0
280caba4b79b52bd87b177b78dbe50257ded7e05,2016-07-27 11:17:08 -0700,0.0512963,0.0293634,0.0222454,0.0003125,0.0225000,1,1,2,1,1,6,6,2,NAO,0,0
72de70250b30a0c2a5df0861a3956a9cdf9fe3ad,2016-07-27 11:16:46 -0700,0.0000000,0.0000000,0.0675347,0.0384838,0.0897801,1,1,2,1,1,8,6,1,NAO,0,0
181e33ef5b73980e95107b45760154652bc753d1,2016-07-27 10:45:11 -0700,0.0000000,0.0000000,0.0675347,0.0384838,0.0678472,1,1,2,1,1,8,6,1,NAO,0,0
3871b0eb2a3b476e0bb0fd8b2d7a43886d85ab4b,2016-07-22 11:12:54 -0700,0.0000000,0.0000000,0.6741782,0.6958565,0.7520486,1,1,0,1,1,4,3,0,NAO,0,0
6f0635d6e8c9c087845751887ab8c96e96ccfc0a,2016-07-21 11:17:18 -0700,5.8907986,0.0000000,6.0167361,5.2247454,6.0172222,14,1,1,22,1,56,10,1,NAO,0,0
3aa26cb1cc123f0fb7c4b632f36766bc60a67264,2016-07-21 11:16:36 -0700,5.8849653,0.0000000,6.0109028,4.9582292,6.0167361,13,1,0,21,1,54,2,0,NAO,0,0
3dd963b0880e49176b025fc2a2c171d1c00f44d7,2016-07-20 14:39:07 -0700,0.0370139,0.0000000,0.7078819,0.7294792,0.7299653,2,1,0,2,1,2,10,0,NAO,0,0
6070cd949f4d82ca744e94f1f6fe6b1bc5717bf8,2016-07-18 14:29:46 -0700,0.0393981,0.0000000,2.8376389,2.6809491,2.8924769,4,1,0,5,1,7,1,0,NAO,0,0
c14208dc6e656d3e6a588ebf760d9215ecc7b09e,2016-07-14 11:27:19 -0700,1.0539815,0.0000000,1.6809028,0.0134606,1.7171412,2,1,0,2,1,2,1,0,NAO,0,0
f83ea1ae6c15ab5b6857c2ddffa1d2d4e66aef4b,2016-07-12 14:24:16 -0700,0.0623958,0.0000000,1.0312616,1.0121528,1.0317014,2,1,1,2,1,7,4,0,NAO,0,0
6bb402c187ab2076b24c12da3b097d55eb927f51,2016-07-12 14:23:38 -0700,0.0000000,0.0000000,0.9688657,1.0176505,1.0312616,1,1,0,1,1,6,1,0,NAO,0,0
ea24d14c0c0161694154319a04b37cd7108aa315,2016-07-06 14:54:52 -0700,0.0433449,0.0000000,2.1190394,2.1400926,2.1478704,2,1,0,3,1,182,3,0,NAO,0,0
fa7f271448791692b6b69e57f0de6127677da4d0,2016-06-30 10:08:09 -0700,0.0000000,0.0000000,1.8079398,1.7076273,1.8084144,1,1,0,1,1,6,1,0,NAO,0,0
05bcbb6cd0af64f60222ab28335d2aa718563725,2016-06-28 14:02:05 -0700,0.0000000,0.0000000,0.0346759,0.0369329,0.0506250,1,1,0,1,1,1,9,0,NAO,0,0
55b51ee549217a1f4b94d2fb8772499d490fba2e,2016-06-23 10:03:49 -0700,0.1280903,0.2057407,0.2076505,0.2761458,0.8824306,3,1,0,6,4,15,4,1,NAO,0,0
6c0b88aad6e39a016b3606245048210b8857632b,2016-06-22 11:32:47 -0700,0.0499653,0.0000000,0.1559491,0.0944560,0.1576389,2,1,0,4,1,10,1,0,NAO,0,0
9fe7617184d892548180d881cbd7ab9583a8385d,2016-06-16 10:01:34 -0700,0.0310648,0.0273380,0.7897569,0.7875463,0.7979282,2,1,0,3,2,51,10,0,NAO,0,0
