Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
7be8a5843a9bdb944774feab38883ea8ad0ad904,2019-03-28 14:24:33 -0400,548.2493403,86.887581,0.181875,50.0057292,63.9411806,29,13,1,111,21,169,37,1,SIM,1,0
88e20e81a61fe07f438f3a07534405ba47414ae0,2019-03-26 15:50:26 -0400,584.0379861,20.7970949,7.0913194,21.0995833,33.1216204,29,15,1,117,31,172,59,1,SIM,1,0
a0a60eea1ba8e9200d9c68f98b7a42b2a6d397a6,2019-02-28 14:06:48 -0500,564.1960532,12.8772917,1.1803472,13.9309606,21.0222801,29,11,1,117,18,172,27,1,NAO,0,0
a10558f870524965d720a3fee92ed0f0b8d096df,2019-02-27 15:39:47 -0500,564.1960532,18.5013889,1.1803472,19.5550579,20.0868519,29,47,1,117,153,172,665,1,SIM,6,10
4ed8ad4d69d68da66fac413ed897bdde8d47057b,2019-02-08 17:54:25 -0500,549.1222338,86.9085417,73.0162963,86.9097685,88.0901157,29,113,1,117,594,172,1418,1,SIM,3,4
4b76b996cb0ad7ba015b53c932e7f0cc4933da77,2019-01-23 19:12:46 -0500,508.2659491,0.0961806,0.0421412,39.8423727,40.0266551,27,3,1,104,4,169,4,1,SIM,1,0
3fb9dafacc45817296885a6e877ba7a5f1c199a4,2019-01-23 19:11:09 -0500,508.264294,0.0973727,0.0403819,39.8435532,40.0254282,29,3,1,111,4,169,4,1,SIM,1,0
bd0449f8d16a5ac1b1962c7ea07d764a7f18eca7,2019-01-23 16:25:08 -0500,0,0.0961806,30.8643056,39.8423727,39.9102431,1,3,1,1,4,1,4,1,NAO,0,0
f8e8303f566652fc74125e50a23eab612e8fc749,2019-01-23 16:24:21 -0500,27.9023032,0.0973727,30.8640046,39.8435532,39.9095949,8,3,1,9,4,20,4,1,NAO,0,0
8b246fe0f5950315035944868b0523e6d75d1171,2018-12-14 19:35:04 -0500,427.2969444,98.1514236,31.245162,112.1720255,112.2141667,27,11,1,104,25,169,23,1,SIM,1,0
