Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
ee7929f239b234057a1b00fcaac0af57e054c04f,2016-11-04 14:27:33 +0100,734.4968171,426.9512963,424.7381944,426.2837616,426.6960301,17,2,1,1499,4,10123,1,0,NAO,0,0
cb9e1048614e41697bd56570777a3647aff223e5,2016-08-03 16:20:06 -0700,13.6993519,8.8091898,19.9800116,15.1893981,20.0008449,2,2,1,43,11,61,15,1,SIM,2,3
4cf6126eaff1aa0f6b2f06809c49e62661aa6252,2016-07-29 16:33:33 -0500,1.2226157,0.0000000,0.1373264,0.1407639,0.1408681,1,1,2,4,1,8,2,1,NAO,0,0
f75c88423b6b7b05151b3e99356d5d92a950a4d0,2016-07-29 16:18:18 -0500,0.0067593,0.0000000,0.0805671,1.1590972,1.2893750,1,1,2,3,1,7,2,1,NAO,0,0
a2021e4a7d295f0a85047034d8c40d4404065fe9,2016-07-28 09:21:36 -0500,0.0051968,2.0118866,4.6180787,5.0499537,6.4470602,1,1,0,2,2,5,5,0,NAO,0,0
ba251d95667496bc838602591734e41cbb38439e,2016-07-11 12:12:42 -0700,3.5541667,114.5743981,3.5816782,3.5036343,3.5888542,2,6,1,4,405,1,4554,1,NAO,0,0
81b588b30b3363fcfbc145b421a053a042188de4,2016-07-09 15:34:15 +0800,1.9246528,0.0000000,1.8682755,2.3692824,2.3704398,4,1,0,14,1,73,1,0,NAO,0,0
4e6f9ed5b0beb71ff8f70ed1bafd5f93ea087f3c,2016-07-07 22:07:31 -0700,111.0724769,1.3229977,2.0692824,2.0675694,2.0694907,6,2,1,398,3,4553,2,1,NAO,0,0
95a04de6a1ff03637d4e61552362f52b2bf08c06,2016-07-07 11:14:07 -0700,0.0023958,0.0368403,0.8141898,0.8144676,0.8147917,1,1,0,2,3,5,5,1,NAO,0,0
2988ebecadba77ec03be34ce386bd437ff999b81,2016-07-05 20:49:42 -0700,109.0183681,0.0179167,0.4909606,0.4757870,0.4912384,6,1,1,386,1,4550,1,1,NAO,0,0
