Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
61a0829f4338ae36e4f9a203e82e69726299be4d,2019-06-04 08:10:42 -0500,92.8585069,5.9568981,8.9946759,13.9964583,13.9966435,2,4,1,7,4,5,4,0,NAO,0,0
a7a1f44018d781848f15875dfe34a09ed8b6dd03,2019-05-21 15:16:00 +0200,83.7983333,0.0000000,6.9254167,6.9909144,6.9912384,2,1,1,6,1,5,1,0,NAO,0,0
1c824f6f9f6e7a3f7ddb98ad80ffdbdbf98c81e1,2019-05-21 13:41:13 +0200,70.8575000,4.5561806,0.9076157,6.9230324,13.8484491,2,2,0,6,2,5,2,0,NAO,0,0
7e6af5c031988e7a7c576c6bbbd1747ddfe548cc,2019-05-07 17:52:54 +0200,57.7895486,11.1199306,0.9512963,13.1116319,13.1348611,1,5,1,4,7,2,6,1,SIM,1,1
4b78ba61eac32cefa41da09149e0500e23cb06ec,2019-05-06 08:30:56 -0500,0.0000000,55.9098264,66.7075347,60.6462963,66.7078009,1,12,1,1,22,2,14,1,SIM,1,1
f70fff8ad236374f66719b010fc5eea477c581e8,2019-04-25 13:28:34 +0200,55.1217245,0.9957292,0.0001157,1.7166435,2.6679398,1,3,0,4,3,2,2,0,NAO,0,0
cedcbc863d4ae224430b83aa8c8e2781715ac3c5,2019-04-22 21:26:54 +0200,54.8996181,0.0000000,0.0005556,0.2225463,0.2226620,1,1,2,4,1,2,2,0,NAO,0,0
bdc205c830186eedc45fb03412c07aa14355d482,2019-04-22 16:07:04 +0200,13.9957292,29.1284144,0.0017130,40.9050463,40.9056019,1,6,1,4,12,2,11,0,NAO,0,0
cfd5929785845000f26db851b94675d6154737b9,2019-03-12 17:23:52 +0100,0.0214352,13.9664815,0.0002546,13.9728356,13.9734375,1,4,1,3,10,1,9,1,SIM,1,1
0398581a446b83e887e3e42945329f2b59e33e34,2019-02-26 11:11:26 -0600,0.0000000,0.0144444,0.0614005,0.0550463,0.0615162,1,1,0,1,2,1,1,0,NAO,0,0
53b59cd0ba6c9e99a9559b121ca390e023feab55,2019-02-26 18:02:29 +0100,0.0003704,0.0144444,0.0342361,0.0550463,0.0553009,1,1,2,3,2,1,1,0,NAO,0,0
0629a067a84a5f2c9a2d952e1231873ecac9d5c2,2019-02-26 17:45:35 +0100,173.0823032,0.0000000,20.9139236,20.9545255,20.9574884,12,1,1,30,1,22,1,1,SIM,1,1
f191f6f9c37347999e1fafb469bb88331ebf13c0,2019-02-26 09:42:51 -0600,173.0098958,0.0140509,10.8421875,10.8372106,10.9145949,11,1,0,28,1,20,1,0,NAO,0,0
505a891db69cc5d217ca2cf588c517b64486392d,2019-02-26 07:58:35 -0600,172.5254630,0.0000000,10.3577546,10.8371991,10.8421875,10,1,0,27,1,19,1,0,NAO,0,0
0ee4cec5239861bdd7a962e18346a1b6f4770b85,2019-02-25 14:32:57 -0600,0.0000000,32.4367014,10.2785185,9.4589931,10.2786111,1,12,1,1,22,1,14,0,NAO,0,0
b681370492d2903d5016d5be0ba401c6a4078506,2019-02-24 18:52:42 -0600,0.0001620,0.0000000,4.9116088,4.1006019,4.9125463,1,1,0,1,1,1,1,0,NAO,0,0
1d8add88f783eb2c0ef2814968908e725f0d5e43,2019-02-19 21:58:38 -0500,0.0000000,58.6009028,51.0950000,46.7123843,51.0951505,1,18,1,1,40,1,18,0,NAO,0,0
3c53897ee4e7eca8f8508ff9bd10e221234efadb,2019-02-15 18:47:27 +0100,162.0051505,23.1402662,34.9604514,35.1230093,35.1241319,9,11,1,22,19,17,11,1,SIM,1,2
2f2fe98aa9b97640509c5f930973b1fa84abe122,2019-02-14 11:03:51 -0600,0.0000000,4.1410417,5.7867708,4.6904977,5.7868866,1,2,0,1,4,1,3,0,NAO,0,0
864b1de19ba77b15889622756e2e992e1fcd4377,2019-02-05 07:37:34 -0600,0.6582292,0.0000000,0.8404514,0.0020833,0.8434028,1,1,0,1,1,1,1,0,NAO,0,0
3702622461682142ff46ef342ee8741dada69e8d,2019-02-04 07:31:43 -0600,0.0029514,0.0564931,1.9705440,1.9796296,1.9821528,1,1,0,1,2,1,1,0,NAO,0,0
3a550dee8536d6a24a475c42c770af3b1fe6230f,2019-01-11 08:53:23 -0600,126.3172106,23.4767708,26.2803125,27.0078009,27.0110532,5,6,1,11,8,14,5,1,NAO,0,0
35de8c9854c71ef363c13bb47c01247b699a8569,2019-01-10 15:19:09 -0600,0.0000000,0.0000000,23.2562847,12.3970139,23.2564120,1,1,2,1,1,2,4,0,NAO,0,0
29494438f1206fcd66fb89a046d78b5f15c39475,2019-01-10 13:04:21 -0600,328.9403704,0.0000000,193.6857176,194.8147917,194.9717014,58,1,0,132,1,48,1,1,NAO,0,0
4070dc98d434ccabc73879b53ce9b4b008b6ad7a,2018-12-18 09:06:40 -0600,93.9934144,99.2034144,93.9945833,100.0380671,103.0583449,5,37,1,6,77,5,30,1,SIM,2,2
70532dd8ae1eb4cf27c66c92d8bc6fa4ed2c7a18,2018-12-15 08:37:28 -0600,0.0003125,0.0000000,10.2170602,13.1394213,13.9056829,1,1,0,1,1,1,4,0,NAO,0,0
c8ec9d435815bdf1042328b5a52df3d35b6ff0cd,2018-12-11 16:05:51 -0600,0.0000000,5.0163773,19.3173495,9.1006019,19.3176620,1,3,1,1,4,1,4,0,NAO,0,0
b926f2e1142e826eda21948481d5afd0ad4c2552,2018-11-27 08:16:04 -0600,0.5986458,0.0000000,4.9903125,4.0842245,4.9914236,1,1,0,1,1,1,1,0,NAO,0,0
2a483bbf60566cab6fbd0340fb3877fc09889bc3,2018-11-22 08:28:25 -0600,1.7132755,0.0018403,0.4729398,0.4502083,0.6825116,1,1,0,1,2,1,1,0,NAO,0,0
3f09521d01783c1ceec23cd44600a6984733b93e,2018-11-22 10:26:38 +0100,0.7634838,0.0000000,3.2367245,1.9963889,3.7096644,2,1,0,4,1,3,1,0,NAO,0,0
ac8e6fb12455c64e108204a9466783196725aa5c,2018-11-20 21:46:22 -0600,0.0000000,6.0668981,13.1532407,10.6800000,13.1533681,1,6,1,1,10,1,5,0,NAO,0,0
de1f472d767236713870e424a87bcf2ab4ca80cf,2018-11-14 14:36:55 -0600,0.0000000,0.9311806,2.2419444,1.9590162,2.2420370,1,1,0,1,2,1,1,0,NAO,0,0
122e99c1fbc55f82c8e2a2d38e099202fd022058,2018-10-31 01:41:56 +1100,0.0392361,0.0000000,1.6483218,1.4028588,1.6961343,2,1,0,2,1,2,1,0,NAO,0,0
79e8ff4290c61a6e0f4b49732053919801581133,2018-10-31 00:33:05 +1100,0.0245833,0.0000000,1.6336690,1.6421528,1.6483218,1,1,0,1,1,1,1,0,NAO,0,0
05e54193ba97719983a87e1944d436e8423cc1aa,2018-10-17 13:43:21 +0900,0.2892593,0.0000000,3.5341319,3.1969329,3.5352315,1,1,0,1,1,1,1,0,NAO,0,0
1cb18d11acfc918529c1747ee5138f35a467f065,2018-10-05 14:23:33 -0500,204.0077431,0.0000000,24.0039931,53.2155903,53.2359375,19,1,0,44,1,32,2,0,NAO,0,0
6735b84ccc4f263f54190658eb402f0637338b5d,2018-10-02 06:56:28 -0700,0.4710532,0.0000000,1.0064583,0.6307523,1.0284491,1,1,0,1,1,1,1,0,NAO,0,0
5b7f3b20617f2bbc38d6bda6f4aa02cff4a386f6,2018-10-01 06:15:30 -0700,0.0000000,0.0000000,0.9612616,0.6449421,0.9789005,1,1,0,1,1,1,1,0,NAO,0,0
c25f6c4e61b6b5f48d33a9bb73cc5801814978d2,2018-09-14 10:38:35 -0500,0.0003356,0.1976273,5.9808333,4.3597569,5.9808796,1,1,0,2,1,1,2,0,NAO,0,0
f1a6729546814f9da3883f629d3497c473643124,2018-09-06 14:42:39 +0100,176.7813657,204.0027199,2.0119792,2.0247338,2.0249653,14,2,0,36,2,31,1,1,NAO,0,0
26cfda28d3735c5b5da70b6fa8bdec128b4e46a2,2018-09-06 14:42:19 +0100,298.7226042,3.0509606,216.5746875,17.6476620,218.5994213,41,2,1,92,2,30,1,1,NAO,0,0
7b9ab57dd613aa70cac10eb5536fdcc6c5d31c32,2018-09-06 08:22:27 -0500,0.3797801,0.0000000,0.9901505,0.0348264,0.9980208,3,1,0,3,1,2,1,0,NAO,0,0
5ad5cdce8c785d09e1205ba890f81f3002dadda3,2018-09-06 08:10:04 -0500,0.0442361,0.0000000,0.9865856,0.6103704,0.9894213,1,1,0,1,1,1,1,0,NAO,0,0
8c41eae20023fc76719c0ebfeb628008486a49d8,2018-09-05 08:25:18 -0500,0.2745370,0.0000000,0.8495139,0.4745949,0.8498958,1,1,0,1,1,1,1,0,NAO,0,0
6fcb8945c84953a18b96e17f2d17f866612c747f,2018-09-04 12:01:27 -0500,0.0000000,0.0095718,0.1587037,0.1575347,0.1590856,1,1,0,1,1,1,1,0,NAO,0,0
b0651d2467f1428eadc505e1b3b4f5678611927c,2018-09-04 08:12:22 -0500,174.7715394,0.7893750,12.7479282,12.7457755,12.7497106,8,1,0,26,1,27,1,0,NAO,0,0
577ae1c0198e35b585fae339cf16b157540ae6e0,2018-09-04 08:09:48 -0500,0.0000000,8.8830903,10.8949653,9.9273380,10.8951505,1,5,1,1,6,1,8,0,NAO,0,0
6cce5303c7a1ac39f50b27838fa074f102807b3f,2018-09-03 15:56:09 +0200,170.7634028,0.0000000,8.7397917,11.0843750,11.7801157,7,1,0,24,1,25,1,0,NAO,0,0
