Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
860aa65d109388db84a63228783b0760f7e9f763,2014-12-29 08:24:56 -0600,0.3415162,0.0000000,1.0993519,0.6892593,1.3854167,1,1,0,6,1,2,1,1,NAO,0,0
ab43c4cf2a0c6ff179321602b0a2ea87f2b9d260,2014-07-10 21:23:27 -0700,0.8499074,0.0080208,1.0429398,1.5117014,1.5409375,1,1,0,3,1,3,1,1,NAO,0,0
62b3120ffd6650d0d652cb6b41620259851b1fbc,2014-07-09 08:07:42 -0700,0.0080787,0.0104977,0.0196759,0.0160417,0.0205208,1,1,0,2,1,2,1,1,NAO,0,0
5034e11f22715d48653a5c577d53796a09e83fbd,2014-07-09 07:56:06 -0700,0.0000000,0.0066898,0.2935417,0.2819444,0.2944097,1,1,0,1,1,1,1,0,NAO,0,0
0ab5d6a7b8fc60e904771acedd8c37da9f39bd65,2014-03-25 07:30:07 -0700,0.5471296,0.0105903,0.0174306,0.3958102,0.3978356,1,1,0,2,2,2,1,0,NAO,0,0
c85150aaeafd976d7b63543d4eff43db7d2e1c7c,2014-03-24 22:22:20 -0700,0.5398843,0.0639352,1.2363310,1.2261458,1.2435764,1,1,0,2,3,2,1,0,NAO,0,0
ace64cf50fec40155081f1092f2d74b88d30518f,2014-03-24 21:57:14 -0700,0.0577199,0.0000000,1.2199306,1.1656366,1.2261458,1,1,2,2,1,1,1,2,NAO,0,0
d1e1a90d08af5cc6469725d7034d9472e5147956,2014-01-16 21:16:12 -0800,0.0165278,0.0000000,0.4863889,0.0530440,0.5265625,1,1,0,2,1,2,2,1,NAO,0,0
d026024e8c778e6d5c2c0ff8c94148fde8f88dfd,2013-12-21 09:45:58 -0600,0.0000000,0.1016204,0.9379282,1.1848727,1.1879514,1,1,0,1,1,7,1,0,NAO,0,0
1d8b152758d90e502517fb311aef1382e985858b,2013-12-18 23:09:01 -0800,0.0000000,0.0000000,1.9694792,1.8422569,1.9720833,1,1,0,1,1,8,1,1,NAO,0,0
7d49699e5fa8ff5ccb87d0ba5720c3e4f0c331b3,2013-12-11 09:24:58 -0800,0.0000000,0.0046644,2.6311458,2.6145255,2.6312731,1,1,0,1,1,1,1,0,NAO,0,0
f97f32df0f9d4774417cf0c012d591f7df64d376,2013-11-27 03:45:22 -0600,0.0000000,0.0000000,0.5222685,0.5009491,0.5239236,1,1,0,1,1,1,1,0,NAO,0,0
86b1ff512510abcd4b72522c4f2cb0c51b1c9603,2013-11-13 09:46:53 -0800,0.0000000,0.0000000,0.2926852,0.2882870,0.3576736,1,1,0,1,1,2,1,0,NAO,0,0
e538da3959fd3d24d2b559acfcf0770013850a18,2013-10-28 09:10:37 -0700,0.0000000,0.6857523,2.3639236,2.3307523,2.3640509,1,2,0,1,8,1,4,0,NAO,0,0
81ba623423c7ba81c47ee998b4bf7680566758d9,2013-08-03 13:32:40 -0700,1.5561921,0.3956597,2.1764005,2.0680324,2.1764931,1,1,0,5,1,12,1,1,NAO,0,0
2786c776e36676696c3c3e14b5a9d8867a8e5ece,2013-07-14 13:40:43 -0700,0.0000000,0.0007407,0.0198727,0.0403704,0.0406713,1,1,2,1,2,2,3,1,NAO,0,0
36e9cb71087b37c92c187c6ca88795047ce97f7e,2013-05-29 17:25:09 -0400,0.2807407,0.0000000,0.2921296,0.0740278,0.3054167,1,1,0,3,1,7,10,0,NAO,0,0
725746badf03351a8b0b97cc67d5fc3cfa91f4f2,2013-05-20 22:58:22 -0700,1.3573264,0.0000000,1.4070718,0.0448843,1.4072338,1,1,0,10,1,13,1,0,NAO,0,0
2d40dfd8d4280f621fe903093c8ff808d5a93f4e,2013-03-03 13:46:57 -0800,0.7074190,0.0251042,2.5470255,2.5452315,2.5471644,1,1,0,6,1,13,2,1,NAO,0,0
afbe5aa5409e43dd29a49c4a15a37651ff6fb34d,2013-02-23 22:55:18 -0800,0.1562731,0.0000000,0.2725579,0.0957639,0.2746065,1,1,0,5,1,8,2,1,NAO,0,0
2b23020695f5bafb2e598e994304a5a0c6dea834,2013-01-04 06:20:36 -0800,0.0000000,0.1634375,2.4467824,3.7244329,3.7280093,1,1,0,1,1,2,2,0,NAO,0,0
680798c28fc2c370f6a902f302ee729e8c46412a,2012-12-18 19:14:15 -0800,0.0013310,0.3844444,0.0024769,0.0055671,0.0057407,1,1,0,4,4,11,3,1,NAO,0,0
9f0cc45c4536a5b2829d7347020692d83d44ad69,2012-12-18 19:14:00 -0800,0.0002315,0.2293287,0.4752894,0.3257407,0.4808565,1,1,0,1,4,1,3,0,NAO,0,0
0ac97f467f789910ac988db2b70bb78b8dc44800,2012-12-18 19:09:33 -0800,0.0000116,0.7479630,0.0013889,0.0002315,0.0027083,1,1,2,4,4,11,11,2,NAO,0,0
897b85b6075bea9fad52ce266dcdd760131b4e70,2012-12-18 19:05:59 -0800,0.0000000,0.2726736,1.4372338,0.9621759,1.4374653,1,1,2,1,4,1,11,0,NAO,0,0
