Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
ce52ee0252fbdaa4f741bf63e245ff6f68ca6d71,2019-10-25 13:15:12 +0200,1127.3003472,0.8139236,2.7852778,2.7850810,2.7854977,4,2,1,4,2,3,1,0,NAO,0,0
cad48e38bfbfa6e3e0096caddf330d6fc8f1ffb9,2019-10-24 17:57:01 +0200,1126.4956597,1438.4873148,1126.9268287,1124.9462384,1126.9274421,2,547,1,2,1083,1,579,1,SIM,1,1
66290a39c82647b3582cbf945ac4c3a08e3c854c,2019-10-19 17:35:13 +0200,0.7344676,0.7443866,0.8149769,0.8147685,0.8185532,2,2,2,2,2,1,2,0,NAO,0,0
87bd507fcf19ef00167109ee293a233da14e46db,2019-10-15 23:27:31 +0200,0.2736690,0.0007870,5.5122454,4.0194676,5.5133449,3,2,0,4,2,4,1,0,NAO,0,0
ba57b5c7067821f114fc2075a19e7eca8b4d6c83,2019-10-09 18:13:13 +0200,1.3177315,0.7712963,0.8965741,0.8989931,0.8991667,6,2,1,8,2,10,1,0,NAO,0,0
66bd299bcdbc00ba92ab9230bf64f531a77b3d34,2019-10-09 18:07:38 +0200,1.0858681,1.3160301,1.9595602,1.9701505,1.9705671,6,2,1,7,2,9,1,0,NAO,0,0
13d889470e8f09f5bfa15afe4e14d2c2c10e3885,2019-10-07 18:08:35 +0200,2.2910069,0.8637616,4.1734028,4.1757755,4.1760185,6,2,1,12,2,9,1,0,NAO,0,0
e2d5426f42a8e8dc1d8d93da6dfadf7d361c2e0f,2019-10-07 17:41:09 +0200,2.2641088,2.2572917,4.1465046,4.1567593,4.1569676,4,2,1,7,2,4,1,0,NAO,0,0
d8a7884731b9dcc9372c28f8520718272cbf4206,2019-10-07 17:26:05 +0200,0.4268866,2.2638657,4.1443634,4.1462616,4.1465046,3,2,1,4,3,3,1,0,NAO,0,0
d9bb732eac5a734ee662034873b9dbdea84d1184,2019-10-03 13:52:01 +0200,273.6521296,0.0000000,1.7368750,1.2640162,1.7373843,8,1,0,11,1,10,1,0,NAO,0,0
