Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
ae63cb5d19e60572634ae6d4263fcdcd0c6b6427,2019-04-18 13:59:00 +0200,0.0058102,10.4642824,0.1388426,11.5618403,11.8220255,1,49,0,2,105,10,425,1,SIM,3,3
72f44a2731599b05964e46047968227403a95f08,2019-02-15 15:38:21 +0100,0.0002315,0.1332176,1.2250000,0.5101389,1.2264005,2,1,0,3,6,8,2,0,NAO,0,0
696bd89013aa08ebffcbd2c4595ac393b6c26531,2018-11-22 17:33:25 +0100,0.0000000,9.8592477,1.1712616,9.8911227,9.9082292,1,41,1,1,77,1,140,1,NAO,0,0
02a83bc1fa0f49194dd1a2bec07217f73a1682f8,2018-02-27 13:11:33 +0000,0.8727894,6.9468171,0.2080787,7.2544560,7.2770486,1,28,1,2,49,1,118,0,NAO,0,0
d74b433290e56ae6ca8cdbbae9c5203abb9127f0,2018-02-20 10:33:37 +0000,0.0000000,0.4937847,2.4077546,3.0724653,3.2398380,1,2,1,1,2,1,6,0,NAO,0,0
3ef62a4fe906292346158747b79a074f85930b82,2017-05-26 09:58:54 +0200,0.0000000,0.0014468,14.9136574,14.3332060,14.9152662,1,3,0,1,6,1,44,0,NAO,0,0
9c2760ae2074ab645e75883fd566a8ea66a404cb,2017-02-14 14:53:12 +0100,0.0000000,0.5869213,11.2301852,5.7309259,11.2318634,1,2,0,1,5,4,22,1,SIM,1,1
57ec6cfe04c7310f088d77e2525f760f67b6ac59,2017-02-09 12:57:43 -0800,0.0000000,0.0000000,3.8988310,10.5891667,59.9515741,1,1,0,1,1,1,1,0,NAO,0,0
2d3fcf245b50b63cd53435ea9871b141d4eeb242,2016-11-02 22:51:00 +0100,0.0006829,0.0000000,6.9711343,2.7049421,7.9886227,2,1,0,2,1,4,2,0,NAO,0,0
741ac367d88114d198de042637cbb0af76259529,2016-10-25 13:06:42 +0200,0.0000000,7.7958333,14.6800926,10.2434375,14.6812847,1,4,0,1,5,1,8,0,NAO,0,0
8017d5d7abdbeaaa3cc58c86a51397b793d56f34,2016-07-17 16:46:44 +0200,0.0045718,0.0355208,4.0740509,0.3771759,4.0762153,2,1,0,2,2,12,5,0,NAO,0,0
5ffda49c54a19df027ab10ddbfb1b7867e32fb37,2016-07-13 15:00:07 -0700,1.1447569,0.0001389,7.5815509,7.9233449,7.9587269,7,1,0,8,2,15,5,1,NAO,0,0
85bdc46b6795af12e68d694f261a0a7f1f048fd7,2016-07-05 12:57:45 -0400,4.7564583,0.0000000,6.0282523,5.1922569,6.0686690,12,1,0,14,1,17,3,0,NAO,0,0
b47831d2db9c1ed8cad0252f1f49676fa2ff5b04,2016-05-18 13:37:43 +0200,0.0004051,6.3398148,13.9088079,8.4005671,13.9375579,4,6,0,4,10,15,34,0,NAO,0,0
