Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
36b5653dd5f2920058604cbf0ba37c0ab0061b09,2018-12-16 11:06:44 -0500,0.1358681,0.0000000,0.7387269,0.6494907,0.7389005,1,1,2,1,1,7,1,0,NAO,0,0
691aa99341f15b3512ba74f5598a7a997565244b,2018-12-11 20:52:25 -0500,8.9071528,7.1144560,9.3673843,9.0720602,9.3717130,5,6,1,26,7,113,7,1,SIM,1,1
46c62b3c82d6d8dc30e7a19f9db35fe09451116f,2017-08-28 23:11:04 -0400,0.0785880,0.9152431,2.4920718,2.7971759,3.4973380,1,1,0,2,5,2,1,0,NAO,0,0
7d1cabd5fa3d04fd4a21242be721bc2a6ca58f09,2017-08-07 20:59:02 -0400,12.6945833,13.8372222,24.0197569,24.1666204,24.3900116,10,1,0,17,5,14,2,0,NAO,0,0
69db7924ba29e22459f72a754967fa5d8439f47b,2017-08-07 12:05:52 -0400,0.2590278,0.0000000,0.5944444,0.5304977,0.5953588,1,1,0,1,1,1,1,0,NAO,0,0
44bfeee5e3184de7078284c8ab73b60d719401e7,2017-08-06 21:48:33 -0400,0.2855556,0.0000000,0.9758449,0.9189352,1.3700347,1,1,2,1,1,1,1,0,NAO,0,0
a503f147818d671fd8dddcba09d5ae8048f3417b,2017-07-31 11:55:13 -0400,3.3010417,3.1841667,3.8144907,3.7452431,3.8157639,1,1,2,5,2,2,1,1,NAO,0,0
7bab9d4674e16d55f752ffc7808ba2ac4e168248,2017-07-31 11:53:23 -0400,1.8714236,3.2259028,13.1965972,16.9359491,17.0110880,2,1,0,2,5,5,2,0,NAO,0,0
a894175edbc13bfa643deac4e3eaf624fdb007fc,2017-07-14 11:29:41 -0400,0.0000000,0.0000000,0.9605903,0.7790625,0.9653588,1,1,0,1,1,1,1,0,NAO,0,0
6c7fe8e7ca7b89e4314d6c334da78043355dd118,2017-06-25 19:44:21 -0400,0.0902546,0.0000000,4.2149537,4.1909491,4.2153588,1,1,0,1,1,1,1,0,NAO,0,0
de9148a3575be65844b320d7b9a961706100db7c,2017-05-06 19:08:12 -0400,0.0086921,0.0000000,0.0485301,0.0475810,0.0630556,1,1,0,1,1,1,1,0,NAO,0,0
c6e50249d0ce790b5281887e87c1b4eb811807a5,2017-02-19 16:46:38 -0500,97.2796991,66.1401968,99.4002315,79.1268634,102.2689931,48,1,0,60,13,57,5,1,NAO,0,0
1857be8b6e0274003295e8a2179799f6281f057b,2016-12-13 12:52:12 -0500,3.6767824,1.0442130,3.8682292,2.8109028,3.8688426,1,1,2,1,2,1,2,1,NAO,0,0
78c41e4e70d29d3150f7c166670183015c56b12c,2016-11-17 12:53:18 -0500,0.0223843,3.8041551,2.8487616,4.4171528,4.7637153,1,1,0,2,2,1,4,0,NAO,0,0
63d4825acedcb5d4f8db9fb74eb518568297e6b8,2016-11-09 10:19:17 -0500,0.2587153,0.0000000,1.8441204,1.5809838,1.8443634,1,1,2,1,1,1,1,0,NAO,0,0
9b7c4da145d89a1b0c2d96aa1cc50a631af1f192,2016-10-14 23:58:09 -0400,0.0000000,0.0000000,2.9449884,3.4447106,3.4617014,1,1,0,1,1,9,1,0,NAO,0,0
14ed09acfeddb3c6ce22db04e4554ec8feedb88c,2016-10-04 20:52:58 -0400,0.8435417,2.1451852,3.7908912,4.2026273,4.2292940,3,1,0,3,12,3,10,0,NAO,0,0
070507f9b257107b615306e8ab1f6b0b8c3d4d6b,2016-09-26 11:41:36 -0400,0.1958681,0.0000000,0.6957870,0.3975116,0.6970949,2,1,0,2,1,2,1,1,NAO,0,0
7691312acf5de339caf24c4b450f3674b0fce4f6,2016-09-26 11:39:43 -0400,0.1541088,0.0000000,0.6953704,0.4999190,0.6957870,1,1,0,1,1,1,1,0,NAO,0,0
63ea6185c4ec7351b184388589717bab4b786cf1,2016-09-18 21:43:35 +0100,6.1666551,0.6329630,6.1241551,0.5904630,6.1256019,2,1,1,5,1,33,12,0,NAO,0,0
d15d8e17515bbbf550e97f22ddbf92d366fe9dd4,2016-09-18 21:41:30 +0100,6.1571759,0.1363542,6.1146759,0.0938542,6.1241551,2,1,1,2,3,17,16,0,NAO,0,0
480b7640c84f5fc48c81f97e80234fc287d54c0a,2016-09-18 21:27:51 +0100,0.9749769,0.0916204,6.0494329,0.0491204,6.1146759,1,1,0,1,1,1,16,0,NAO,0,0
