Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
9aa514bc7087f98028a978ca843ff07054e31d9e,2019-04-08 10:14:02 +0200,3.1415509,0,2.3750347,2.9707292,4.9755556,1,1,0,3,1,6,1,0,NAO,0,0
c636b88b2d418a4ecb7659cc9a2e1a2006392055,2019-04-03 10:49:22 +0200,0,0,1.0254745,1.7919907,1.7920833,1,1,2,1,1,1,1,0,NAO,0,0
94cbfcbdf62da9a10c5d6c3c90e2e8fc65b8b95b,2019-04-01 13:01:29 +0200,32.3296181,0,41.7884606,1.3403704,41.8628472,6,1,0,34,1,38,1,1,NAO,0,0
6faab091bb263b9a14b119deaf2111b1205766b1,2019-03-28 15:12:33 +0100,10.1354514,0,10.8311458,7.986956,13.9643287,2,1,0,4,1,2,2,1,NAO,0,0
b5fe0f812625ce1628ee24e69fff0eedca8e93fd,2019-03-21 09:03:27 +0100,0,1447.6934144,92.948588,97.9671991,98.9609028,1,17,0,1,94,1,64,1,SIM,1,1
b6e136776ac73319140bea81e68a4e03c5269dc0,2019-03-07 16:13:33 +0100,1433.8731019,0,84.1468866,84.5458333,85.2595833,16,1,0,78,1,49,1,1,NAO,0,0
fc30774ef2802fc5bbe92aebccdb4c5624734cb4,2019-03-06 13:31:16 +0100,1431.9157176,0,82.1895023,82.3918866,84.1468866,15,1,0,77,1,49,1,1,NAO,0,0
27b70ed0bab93aa05dfb62717042ce22c9a027be,2019-02-18 15:14:39 +0100,1400.7743403,11.6889468,51.048125,61.0041782,68.2186806,14,1,0,64,2,44,1,0,NAO,0,0
d0337246f2a9f3a185af1a2f4fa8fcd20323174e,2019-02-01 09:49:39 +0100,16.8578356,0,0.9848148,0.3876157,0.985544,2,1,0,4,1,2,1,1,NAO,0,0
9c1615fff1b9a31e4ea5bd0e33b585ee9a888b39,2019-01-31 20:09:45 +0100,1399.7336574,0.0038889,50.0074421,34.1383102,50.4236111,12,1,0,56,2,44,2,1,NAO,0,0
aa8be6829cae09ffe0332120fc0007383d49d65c,2019-01-31 10:10:28 +0100,1398.9982755,0.0009144,49.2720602,39.3958449,50.0074421,12,1,1,54,2,43,2,1,NAO,0,0
