Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
40763d3962507ef3e25d3c7ea597de21fd0a870d,2016-06-23 19:24:38 -0700,147.7440741,0.0070949,0.0040162,0.0811921,0.0825463,9,1,0,45,2,14,2,1,SIM,1,1
e3207005daa30fd829c5051166d51d1081ca8769,2016-06-23 17:31:33 -0700,74.5125347,51.8538310,75.8971181,149.1246412,149.1286574,9,1,0,45,4,14,2,1,SIM,1,1
0c6d50d9c08d743443989f864156a725d99e079b,2016-04-12 03:58:08 +0900,81.2965162,72.4321528,85.5223495,85.3293634,85.5226389,10,1,1,46,2,15,1,0,NAO,0,0
881f16553cbc624cd695cd592bcf74c4b7ab4453,2016-04-12 03:57:43 +0900,74.3785417,0.0070949,0.0663194,0.0153472,0.2000231,2,1,0,10,2,7,2,1,NAO,0,0
e5a8d4d2d98b0ab7eccd18bc6d8f8d31cbe9150a,2016-04-11 08:45:11 -0700,74.3784028,0.0000000,8.5926968,8.4859838,8.5928356,5,1,0,15,1,8,2,0,NAO,0,0
fb0253edea0798185be803b4fa613bbdd5d4bd9d,2016-04-11 08:44:59 -0700,72.4451505,16.9701505,75.6968056,18.3547338,75.7629861,8,1,0,31,9,9,5,1,NAO,0,0
438ad63cdf3fec7610e357a25851fe5bd14bd049,2016-04-11 23:09:41 +0900,72.4422801,0.0000000,75.6939352,3.9769329,75.6968056,7,1,0,30,1,9,1,1,NAO,0,0
7e9a67d8eeca7fbed7ff4111be86a65c6247c05a,2016-04-11 23:05:33 +0900,38.3021296,0.0017477,75.6901620,3.2534028,75.6939352,7,1,0,29,1,9,1,1,NAO,0,0
0ae070885d9ee9713f6184c84a950ebae9858775,2016-04-11 23:00:07 +0900,38.2748032,0.0000000,75.6628356,42.1837731,75.6901620,6,1,0,28,1,8,1,0,NAO,0,0
36d99d8d84f5cff3bb97f12c9c2a810e6df66704,2016-04-11 22:20:46 +0900,24.5509491,0.0019676,28.5971528,3.5812616,29.3860880,2,1,0,11,2,7,1,1,NAO,0,0
3c7350fa58357393c5fe87d2f853fd655bef88ed,2016-04-10 11:24:42 -0700,16.8473380,0.0000000,20.8935417,19.5771412,28.5971528,1,1,0,10,1,6,1,0,NAO,0,0
f9db72997fae6a01ddc0eb92735644a34a09af69,2016-02-14 13:57:06 +0800,14.1839815,0.0014120,0.0042014,0.9675463,0.9735417,0,1,0,0,2,0,2,0,NAO,0,0
f4e9e71c56abe65a718870927db9a406cf933997,2016-02-14 13:47:59 +0800,0.0000000,0.0000000,0.9708912,0.0047569,0.9719676,1,1,0,1,1,2,1,1,SIM,1,1
7091acf24cc56e511650b50e421cf8e3774c3cfe,2016-02-13 14:41:15 +0800,5.1334491,0.0172685,0.0006134,9.0469444,9.0511458,0,1,0,0,3,0,2,0,NAO,0,0
7760a71d90f5ae9c2a468811a49fdffe22c500c5,2016-02-04 13:28:29 +0800,1.2286574,0.0000000,0.0006481,3.9048264,3.9054398,0,1,0,0,1,0,1,0,NAO,0,0
2f26a2bdb4112232015dfbce96c5fb8bf52c4ee1,2016-01-31 15:45:35 +0800,1.0463310,0.0000000,0.0010648,0.1827431,0.1833912,0,1,0,0,1,0,4,0,NAO,0,0
abcedf53ecdfd34739aa83a63923dde3d393c357,2016-01-31 11:23:02 +0800,0.0000000,9.6463657,0.0200347,1.0653009,1.0663657,0,2,0,0,3,0,4,0,NAO,0,0
24456fdcbe640ac0230a41b3d2cf04d362ad51f2,2016-01-31 11:21:30 +0800,1.7967940,5.3996875,12.8068981,9.6255208,13.8721991,1,2,0,2,3,3,4,0,NAO,0,0
2a91fd57c716a350493072cc457de17ebc1b801e,2016-01-17 15:25:32 +0900,27.8797801,0.0000000,43.2175000,9.2648032,43.2188542,3,1,0,12,1,4,5,1,NAO,0,0
