Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
979be57303fc7de47186713be31b16331aabcf3e,2019-10-06 11:59:37 -0400,0.0000000,0.0002894,4.0298380,5.3689352,5.3694560,1,1,2,1,2,2,2,2,SIM,2,2
6fe07ebf5ab3fea1860c59fe7cdd2ec1b760f9b0,2019-01-11 18:26:32 -0500,8.3331481,30.2271296,30.2755324,30.2569444,30.2810995,4,18,1,9,70,29,113,1,SIM,5,11
43485fbc5b779e02122c3b7fc64296a2cfee31f6,2017-05-18 16:56:05 +0800,2.5172454,4.1041319,4.5805787,6.2719329,6.2736690,4,1,0,4,33,5,42,0,NAO,0,0
e7a066fe6164cef52ae62974529e32b5ecd15649,2017-04-05 16:04:58 +0800,0.0558796,0.0195949,2.0162153,1.0012731,2.0226273,2,1,1,12,2,32,2,1,NAO,0,0
82bc8b7429d58efd517d1b064fbbf78eb888d85d,2017-03-09 10:33:21 +0800,0.0038889,0.0000000,0.7722685,0.7241319,0.7727546,1,1,0,4,1,18,3,0,NAO,0,0
837b0b224b5405173e57a9c41cb2afe6686f6bd0,2016-08-11 08:48:44 -0500,2.2778819,0.0030208,3.1300694,0.8091204,3.4672801,1,1,0,12,2,32,2,0,NAO,0,0
0fd43c9653b38bdd8fa81752ec4ce421bfc38c3f,2016-05-26 18:16:40 -0400,1.0892824,0.0051042,1.8881597,0.2479282,1.8914468,3,1,1,11,3,26,17,1,SIM,2,2
270b0ac021ee5bfff6b2ed1eacaf91a09f2a9d5e,2016-05-08 14:51:11 -0400,3.8900810,0.0919560,8.1989352,7.7893750,8.7771991,4,1,0,20,3,42,8,1,SIM,2,2
f1bf59d97bc713115e0c4c2b935400b25c71ef4d,2016-05-07 15:03:33 -0400,7.1208681,0.0000000,9.6546991,0.6535880,10.6318287,3,1,0,20,1,18,2,0,NAO,0,0
35087ba47b0d1e76cc2dbfc23b0c480798956162,2016-04-01 16:08:27 -0400,38.9871412,0.0000000,40.5761921,41.1001968,41.6288079,12,1,0,111,1,102,1,0,NAO,0,0
be7339b38ad5083fd0d0baaa2eb9f508b5f9ce23,2016-03-31 14:52:41 -0400,2.4218287,0.0000000,2.6469329,1.8601968,2.6475347,3,1,0,8,1,7,2,0,NAO,0,0
fb876ef15b0f8c02897a7fa61bf283d80c6ab0ec,2016-03-29 14:32:36 -0400,7.4546759,0.0000000,7.9653819,8.1904861,8.5989699,5,1,0,41,1,51,2,0,NAO,0,0
e831412f2a4fbf89f66c13aab0988976adc8ff72,2016-03-28 19:08:15 -0400,0.0607407,0.0000000,1.7019907,1.0483333,1.7146528,1,1,0,3,1,27,2,1,SIM,1,1
a325d461a3009fa104cc497dd88fd7d491a1ef95,2016-03-25 01:08:36 -0400,0.1221528,0.0000000,0.2673958,0.2487500,0.3021644,1,1,0,2,1,4,2,0,NAO,0,0
c748bb3e6ed2ef41ddde79134a0c690232a4bcc9,2016-03-21 13:33:55 -0400,0.3126852,0.0000000,3.1474884,3.6581944,3.7057060,2,1,1,4,1,12,4,0,NAO,0,0
6ff1290fd9a9e19a9208eec10c8b6cddba3a8986,2016-03-20 21:47:29 -0400,0.0000000,0.0000000,2.8348032,2.8972454,3.0484606,1,1,0,1,1,1,7,0,NAO,0,0
5a51b4ade75dea344c5a35fb3048e8359a1387fe,2016-02-27 23:53:44 -0500,2.0121991,2.3505671,3.4276389,3.1259375,3.5135764,1,1,0,5,2,16,4,0,NAO,0,0
4d090230595e78f9beb6b0a32df3b64aea972d84,2016-02-15 15:06:33 -0500,0.0000000,0.0000000,1.6353935,0.6571528,1.7357870,1,1,0,1,1,3,1,0,NAO,0,0
0b907f7027b432288277379a56e360d487e890c9,2016-02-06 10:34:08 -0500,1.2253704,0.0000000,3.8826505,4.2555787,4.6870139,1,1,0,4,1,13,1,0,NAO,0,0
e4accfc876572dee0aa5e8820c9dadb283376183,2016-01-22 12:18:14 -0500,6.3148495,0.5576852,5.9592130,5.8455093,7.0300231,6,1,0,15,2,19,1,0,NAO,0,0
6002ed242929f90786456c4e150453f9198ad258,2016-01-20 22:52:06 -0500,30.6193750,0.0000000,29.6715625,30.0059954,30.0150116,9,1,0,49,1,96,1,1,NAO,0,0
45646f1ef29c705cf6c4d066b230ddcd68f8b36b,2016-01-18 12:45:49 -0500,3.3974653,0.0000000,3.0418287,3.0402315,3.0491782,3,1,1,4,1,5,2,0,NAO,0,0
a17ab47cfe555d422a76cce83e55db4ac693a115,2016-01-18 12:24:37 -0500,3.3750463,0.0000000,3.0194097,2.9324074,3.0344560,1,1,0,1,1,1,2,0,NAO,0,0
38163666a1a412bd6ef585e89bad79581154f42d,2016-01-18 12:02:57 -0500,0.9793287,0.0000000,0.8708218,0.5151852,3.8902315,1,1,0,2,1,1,1,0,NAO,0,0
f57ea7c8492d84e88ea0f0c3670c10ecf2b7e88e,2016-01-15 11:35:00 -0500,0.0000000,0.7050231,0.8845023,1.4810185,1.7553241,1,1,0,1,2,2,1,0,NAO,0,0
fa53d9646ec67673cb584821807065e981c753b9,2015-12-23 21:37:23 -0500,0.2317245,0.0000000,1.7743750,1.9380440,1.9541204,2,1,0,5,1,16,1,0,NAO,0,0
52f6cfcd984236aba49a57cfb1984aac988721b0,2015-12-21 22:43:27 -0500,0.6215162,0.3785648,2.9185417,3.2448380,3.2538426,1,2,0,1,2,1,2,0,NAO,0,0
146002a0647538375bd541ad5cb1c159ac017c71,2015-12-10 10:31:11 -0500,7.9222569,0.7622222,8.4159491,8.5048495,8.8541898,4,1,0,17,2,27,3,0,NAO,0,0
f819514e0ed775e34aed4416ab79c0b317574a9f,2015-12-02 11:09:34 -0500,0.0832292,0.3532407,1.0672917,1.9142245,1.9481366,1,1,0,2,3,1,3,0,NAO,0,0
904b90565bbb39b911aec19a70cd8abf45bf0bf9,2015-11-16 11:10:05 -0500,0.1996065,0.0000000,0.5028472,0.4998380,0.5162847,1,1,0,1,1,13,4,1,NAO,0,0
ffe5825a0d98f6455523a64b543d63c16649adc4,2015-11-16 10:50:44 -0500,0.9944560,0.0000000,1.2364005,1.5396412,1.7392477,2,1,0,3,1,10,13,1,NAO,0,0
