Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo,Arquivos Null,Relação Arquivos Mesmo / Total de Arquivos
65b32a0107ed53fbc84489663eb855f7ace7b4ac,1,1,1,0,1,
1f83fe8e48577131a2bb93acec0cd6c0aac2d815,1,2,1,0,0,js/src/button.js,Patrick H. Lauke,XhmikosR;
fca7531897447fb2f9524559dfb00ecee0944d58,1,1,1,0,1,
cee8e8653dc009b5d86af4a8e2ad3a5e0688ca4c,1,1,0,0,0,docs/index.html,XhmikosR,Mark Otto;
2eb456b5d827e90385d363c56b140d9b83ee100c,0,5,0,0,0,
9928311bd9858dfd177fdfcfd79be6b6c1da3b84,0,1,0,0,0,
5ad1049622fa409cd9ddf51a3f0f8a5c9d0c2483,0,1,0,0,0,
07ee6c8ea171ae883d72d6d240b742537cd20d77,1,2,2,0,1,
e1bdfc2b5229a881f15aa4b2f81a81bf57a97c88,0,3,0,0,0,
982aeea1f7a27109d60baf07adcc73cd08742939,1,1,0,0,0,docs/4.0/components/collapse.md,Patrick H. Lauke,Andres Galante;
38271b21d5ec7db354c96d3f9eaafdb9a68560aa,0,1,0,0,0,
3073a4e9b6649358ed15aa4618337c0c4812495a,0,3,0,0,0,
babdf36c422f3e6e9d6fe80133e0b3cf121b5ef4,0,1,0,0,0,
1f42d79561d3931b91e09e5d1d04b3a4ce9aa431,0,3,0,0,0,
9501ed87252b7f07a79667562f47818f60017196,1,1,0,0,0,scss/mixins/_buttons.scss,Mark Otto,XhmikosR;
e626277c731b36826dec978b3cf3dc8901ef11f0,1,1,0,0,0,docs/4.0/getting-started/options.md,Mark Otto,Patrick Yeo;
64008ad721cab6171fcce431709a982f21e6094e,0,1,0,0,0,
e62b121226f26b72c8bc8dbb0698c16262bf6858,0,3,0,0,0,
d7302c221aa5688edb6323d754a4b7dd508759e3,0,1,0,0,0,
21b874d19dfee091ee64dd4db934850516d2d7b0,0,2,0,0,0,
2fd192968dadc0f8d1d22a6f48c208aacd79e71f,0,12,0,0,0,
d4eb0d4e739477fc51421eed29906addfd998a04,1,10,3,7,0,
8f67ac19a761b8d3ecc80485c3f54aa6ba4fa910,1,16,1,1,0,docs/components/navbar.md,Mark Otto,Pierre Vanduynslager;docs/examples/carousel/index.html,Mark Otto,Johann-S;docs/examples/starter-template/index.html,Mark Otto,Johann-S;docs/_layouts/docs.html,Mark Otto,Laussel Loïc;docs/examples/sticky-footer-navbar/index.html,Mark Otto,Johann-S;docs/_includes/nav-home.html,Mark Otto,Geremia Taglialatela;docs/examples/navbar-top/index.html,Mark Otto,Johann-S;docs/examples/offcanvas/index.html,Mark Otto,Johann-S;docs/examples/jumbotron/index.html,Mark Otto,Johann-S;scss/_navbar.scss,Mark Otto,Patrick Yeo;docs/examples/dashboard/index.html,Mark Otto,Johann-S;docs/_includes/nav-docs.html,Mark Otto,Pierre Vanduynslager;docs/examples/navbar-top-fixed/index.html,Mark Otto,Johann-S;docs/examples/navbars/index.html,Mark Otto,Johann-S;
6c3f833076a9fa68601741e3e21bd07ad79b7d8a,1,3,3,0,1,
5463d8436b6404f5c647fb12e0cd0eafa4abf5e0,1,1,0,0,0,scss/_variables.scss,Mark Otto,Patrick Yeo;
b7cc8871bedd1fc78655ae5bb6c4c02d85c26f69,0,1,0,0,0,
0c12ccbeb6fdf0dd3818f97260aa43c79108d377,1,11,1,1,0,docs/components/navbar.md,Mark Otto,Patrick H. Lauke;docs/examples/jumbotron/index.html,Mark Otto,Patrick H. Lauke;scss/_navbar.scss,Mark Otto,Quy;docs/examples/dashboard/index.html,Mark Otto,Patrick H. Lauke;docs/examples/carousel/index.html,Mark Otto,Patrick H. Lauke;docs/examples/starter-template/index.html,Mark Otto,Patrick H. Lauke;docs/examples/sticky-footer-navbar/index.html,Mark Otto,Patrick H. Lauke;docs/examples/navbar-top-fixed/index.html,Mark Otto,Patrick H. Lauke;docs/examples/offcanvas/index.html,Mark Otto,Patrick H. Lauke;
c4867cfedb6235708967aa8518c59ffed2816f0b,1,1,1,0,1,
047d4a77da5af8b59fd562935669c550272f57a6,1,3,3,0,1,
94bd6b76bef5d60ee61fcf61665e9a1b0ae04a16,1,1,1,0,1,
1f9619a5174501017c582382e158a2a04274fe65,0,1,0,0,0,
50d5f60696208c0e242f72d30b928b12300e3831,0,1,0,0,0,
be4fc23fdb12b19f763ee11ff1ed7370318ca156,1,1,0,0,0,scss/_variables.scss,Tom Lutzenberger,Kovah;
1e3ec8935520e2d118d9d7742abd80183d34beb2,1,2,1,0,0,js/src/carousel.js,Mark Otto,Johann;
82875586c1ee8d1bc19227bb1e6646a3e87e233d,0,2,0,0,0,
432fe74c3182f3be258320fec31b0a8c5d70848d,1,1,0,0,0,js/src/tab.js,Matt Hernandez,Bardi Harborow;
e11e6ec9133e8f7eb5c06829233fd12403947e55,0,2,0,0,0,
864343a3cca6182bb6afefae79ca561b7bff1416,0,2,0,0,0,
ccb5248205efb8176aeb845b69a3e9c414e0dc69,0,1,0,0,0,
61b01f9b28090ea98ca51ff078014bb9c97660e7,0,1,0,0,0,
b4cdccba84f7681e2911d307828c5ce94c856736,1,2,2,0,1,
7dee5560a10785100996fb6affe644163b2db44e,1,1,1,0,1,
6c867667a19dcb1243153855d00e36e5ecd599d0,0,2,0,0,0,
64dcb8b5073293daa911d2b274fd875f31693317,1,1,0,0,0,scss/_navbar.scss,Mark Otto,Chris Garcia;
49fadbd4b81854aa70ec723206111c579a9394e7,1,4,0,4,0,
aaad85bc306ccf35bd749ea43d2aa768e4ebabeb,0,4,0,0,0,
4a064209ba26f53ed0758f232d0331beca7dfcd3,1,9,5,4,0,
9f2ab98026cd1df4c74cdad1aa03d2931f979f91,1,8,0,5,0,docs/assets/css/docs.min.css,Mark Otto,Patrick H. Lauke;docs/dist/css/bootstrap.min.css,Mark Otto,Patrick H. Lauke;dist/css/bootstrap.min.css,Mark Otto,Patrick H. Lauke;
80144d74d7435746f786e8eceae3a4adc07f93ac,1,2,0,0,0,docs/components/forms.md,Mark Otto,Patrick H. Lauke;scss/_forms.scss,Mark Otto,Patrick H. Lauke;
d6207d852adddbd67b5002d0a89d115e5669e528,0,2,0,0,0,
e194db05c8494ccfe6de5c906e9c14b16daf61e8,1,1,0,0,0,scss/_type.scss,Chris Rebert,Mark Otto;
d7d0e186bdfb52856a455c438538582fe95324e6,1,1,1,0,1,
198e34a096032c6ab2f76b7e1cec06465577ac6d,0,1,0,0,0,
442277ddce7a254d0b20aecaf88c2adbf437eb38,2,1,1,0,1,
fffaaed0fdb6203dceaeff0cdd663b79bb7f81eb,2,1,1,0,1,
b75116c679bc6647d1a4f9c0ae577f6a8635b1b4,1,8,3,5,0,
0e70c6a37f1a648f86331498e7e898ca86a5d912,0,6,0,0,0,
9e6d1c1ec654866588c00da9a0972f3c3b4551be,1,2,0,0,0,scss/_card.scss,Mark Otto,Bass Jobsen;scss/mixins/_cards.scss,Mark Otto,Bass Jobsen;
d3c87d32fad1ce71b78c1f7ec3ac5369c52f7072,1,1,0,0,0,scss/_type.scss,Mark Otto,Bass Jobsen;
5f316e6dc34f57bfbd0ebf922fe5a01cc6bb38c4,0,1,0,0,0,
239befe16b478d9709d97289ada132a4d218ba7b,1,1,0,0,0,scss/_variables.scss,Mark Otto,Chris Rebert;
0fa2c7c4866a4ada900a0bebd45ab8b741db6788,0,5,0,0,0,
186c1c6d8072f21c0a6ccd46097e6234f03548c8,0,3,0,0,0,
d18cc5f77b84419261bd69fdacbf0a6c7283b7f8,0,1,0,0,0,
c9725926b2f30bed4e37f57c20ef8ffeb2fd233b,0,2,0,0,0,
75374ce51109dd91a87d9b01c0a606e1ce1d3266,0,1,0,0,0,
fc5d996e1020e7a642cac1073c84841e1e21f170,0,3,0,0,0,
4e45e2363c452e57d187cfd3c64cb0503b881a40,0,1,0,0,0,
461b37b034f3683fbe561091530a79615c4f9369,0,2,0,0,0,
879114a80839ca8216fe914294561643e6c9aa4c,0,6,0,0,0,
5e928c7c2b15d002333d831d12e5aaf29b84dc86,0,8,0,0,0,
7ba24450be5d60061e61102b9d83c7f167c7f464,0,2,0,0,0,
a8023edf16975d5ec34a6e4056df3c6404de8c8d,0,6,0,0,0,
6191e5e696cd09308e74facec7bc729466d7f48e,0,6,0,0,0,
b84bb4e218892a45c2c27a861da73900971b17a1,0,34,0,0,0,
72fc4417383600c0bcb209690e29be278920be5b,2,5,4,1,0,
1ddc3f5e21d8a7df6fdec100c48c82aaf8751a83,1,53,47,5,0,package.json,Chris Rebert,Mark Otto;
bc29c016b7afefa2a9a42e94efaee58695049285,1,4,2,2,0,
