Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo,Arquivos Null,Relação Arquivos Mesmo / Total de Arquivos
7fdd0df6eca5fc564443acbf9f71555f6834359a,1,1,1,0,1,
563ef469f7ad1ad4a9d9ebea702985ac27b586ac,1,3,3,0,1,
746d9181d7e539f6f6d704f6eb1e76bf9df29e5f,1,1,1,0,1,
8a78fdb09cc0a645a757cbcfb1beb09a3d2e5bca,1,1,1,0,1,
2844fdb82ee86b812027f700f9c566da8324e78f,0,1,0,0,0,
b05a685a03a2a186cd7ffb45a6cb8a7a4fbc49de,1,4,3,1,0,
afd6250bab89b67d916c1281fe32a82070a0e958,1,2,1,1,0,
2a2134974cc8d39f64c89b40dd5999e0c3ec01ae,1,2,2,0,1,
1351d0a56580df36872b466eb245e7634c20dab5,1,20,18,2,0,
29111a32594806cc217aba047de609dc913ef255,1,3,3,0,1,
09392e0348e22dcac63973dd25ac10afc90230dd,0,1,0,0,0,
05a4e15ee46db41dbd2bfde8ca839efdec958b05,1,4,4,0,1,
953284a8d08ebcb80abbbd0663b471ecb8968e97,1,3,3,0,1,
2236ba980cce9b8dd2e1219208afef28d1e86df2,1,3,3,0,1,
ac6746d1be45db54aa97334396b7bf89e6926ada,1,1,1,0,1,
3b45b82ec2640d4b0f4ffb9f0f7c898bd3d37b3b,1,2,2,0,1,
f7d50d4b673c9bf1a729f7d5fb04cf092542db3b,1,1,1,0,1,
9bee619320d31dbef3a63dc9a6d4b891d0984fb7,1,1,1,0,1,
1fa9185c7e82ecc43b99d797af5584133458008d,1,1,0,0,0,flask/__init__.py,ThiefMaster,David Lord;
81bde0db4b2a4ad97d88d36f3adcdfe7e04e3c25,1,1,1,0,1,
f7ac3a7620dfcccec98a6836bc43b1704f289ba2,1,1,1,0,1,
216151c8a3c02e805fe5d1824708253f7e01e77f,1,13,13,0,1,
eb1c2faf9f1fd785616203dc00f6dd680682dc38,0,1,0,0,0,
9e39c506e0e20285f17409fc0d555f86c0ddac14,0,2,0,0,0,
