Hash do merge,Data do merge,Tempo de isolamento 1 (dias),Tempo de isolamento 2 (dias),Tempo de isolamento (MAX),Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
3beae2ca85e6c2c411b2d8e03d9ec07a3d5bb98a,2015-07-10 11:05:03,17.70,17.40,17.7,14,25,1,41,70,1347,1795,1,SIM,6,15
9c5e9fc15595e9fe651548dbf8fcfa97b6e6eb56,2015-07-09 15:30:29,846.86,10.06,846.86,204,5,1,1519,10,10929,124,1,SIM,4,4
9d3288c843d245cfe2c32e4b2b0a8fd058b061c4,2015-07-03 19:34:23,6.09,0.00,6.09,6,2,0,7,2,174,5,0,NAO,0,0
6e72ac7d81591cbf3fd0e5a78d48c9959d589d2c,2015-06-25 18:51:46,8.62,6.22,8.62,12,13,1,29,21,1332,205,1,NAO,0,0
f50c37d99316f2f7dc1618ea2eef4a0201a5ae0e,2015-06-22 11:11:51,831.73,74.91,831.73,202,9,1,1507,17,10915,313,1,SIM,5,6
79a7a86d4d56625fe21be227ecf66ddabc49e86f,2015-05-01 20:08:55,14.05,3.93,14.05,22,3,1,52,3,1412,17,1,SIM,1,1
59a5c98f2c987080634ed078c9868e23e8c55820,2015-04-20 20:25:08,0.98,3.05,3.05,2,2,1,4,4,4,3,1,SIM,1,1
cac2a740a91adc66ec24c98648c594fa3d072bf2,2015-03-31 16:22:18,0.00,0.00,0.0,1,1,0,1,1,2,3,0,NAO,0,0
a0ce9cc38f5ffb0afe1093f86bff8d29a4e4d345,2015-03-23 21:36:37,744.87,0.13,744.87,194,4,1,1446,9,9989,1218,1,SIM,2,2
59d3f6864b7240629b5fd78d856018570ca8e099,2015-03-23 19:47:20,47.00,0.02,47.0,24,4,1,48,8,520,1218,1,SIM,1,1
eb2764a9452baa7cba2d98dc34fa00fc776b0a12,2015-03-16 14:26:55,734.50,6.37,734.5,192,5,1,1429,8,9139,36,1,SIM,15,17
b0425f0d2c3556a19ffe36fed4d777878e96e2eb,2015-03-04 18:10:32,724.70,0.00,724.7,192,1,1,1424,1,9126,1,1,SIM,1,1
e82e86b1a7fc3e3d15daeb5845f0ce4d83e15e92,2015-02-27 16:49:00,720.78,0.00,720.78,192,1,1,1422,1,9104,2,1,SIM,2,3
a6bdd8fd07c71298f6e21026939766ef80dd218e,2015-02-16 15:34:41,709.64,5.09,709.64,189,2,1,1410,2,9098,3,1,SIM,1,1
ddd40fd5dc42dd2ad841b0679611ac89c8f2d11d,2015-01-26 13:01:01,685.66,6.20,685.66,185,4,1,1386,8,8709,124,1,SIM,5,5
307daedd2c13f30ba7bf487b308570ca77847fca,2015-01-14 15:38:15,675.62,1.02,675.62,184,2,1,1367,2,8702,3,1,SIM,1,1
82d2fd18428a0dfd289f01455e129d3b9b69d68f,2015-01-14 05:21:41,0.02,0.00,0.02,3,1,1,3,1,3,1,1,NAO,0,0
fbfe562d71ae8d8f8bbf627808c755e513e4e905,2015-01-13 12:39:14,674.86,0.78,674.86,183,2,1,1367,2,8702,9,1,SIM,9,4
21c2636c9a7ee3473addcee0a6cd608e8952be79,2015-01-12 18:36:08,117.14,0.00,117.14,22,1,0,77,1,414,5,1,NAO,0,0
0c7f6ca83091eb5516d07153f35f851e47f753ee,2015-01-12 15:59:37,670.74,97.14,670.74,184,22,1,1360,71,8701,408,1,SIM,43,414
94e147500c5bf457c9101bda8c8020d8ff896708,2015-01-05 17:26:47,88.44,26.60,88.44,54,14,1,204,16,3381,83,1,SIM,2,1
a6757fb9d09ad10304378309cfb45659bb5c53f1,2014-12-17 14:39:24,0.03,0.00,0.03,3,1,0,3,1,2,3,0,NAO,0,0
1afa8629789ae133d0bc1502ae4fe0bec4e6f262,2014-12-09 18:06:35,64.09,9.02,64.09,39,11,1,149,27,2571,104,1,SIM,24,55
fcbbc7a050e9f03a8a8384b58774f6c151c0cbce,2014-11-22 17:55:59,47.07,21.06,47.07,8,16,1,79,24,2374,773,1,SIM,2,2
d435f4b3eb53011f3dd00230e1818fa2720d6beb,2014-11-04 00:11:23,0.00,4.42,4.42,1,4,0,1,8,1,34,0,NAO,0,0
0d8cbdff51eab1fbaca06c26c12558fbd0bb8fe9,2014-10-29 16:24:12,82.82,41.83,82.82,6,36,1,9,124,5,2798,1,SIM,2,2
6e997424177156001e1484f62bb1bbce4ea85046,2014-10-29 16:23:05,7.17,0.00,7.17,4,1,0,6,1,2,1,0,NAO,0,0
3a9754a27bf3b39fd4f83925fefdd3875b24b851,2014-10-29 16:15:15,23.01,1.99,23.01,7,3,0,53,3,2058,5,0,SIM,1,1
be17aa4385c609fe8401c5209c59aee39291d169,2014-10-24 17:08:37,17.25,12.30,17.25,6,8,1,45,15,2057,1702,1,SIM,533,5499
4412a71d76a0fa002f627ec21d2337e089da6764,2014-10-08 15:31:45,0.00,1.38,1.38,1,8,0,1,12,1,18,0,NAO,0,0
7c0419730b237dbfa0ec4e6fb33a99ff01825a8f,2014-09-17 08:26:44,0.16,40.04,40.04,1,27,1,1,88,1,902,1,NAO,0,0
7ca5af87a0662a1f8dca2391ae90a6342592302b,2014-09-16 17:48:09,556.57,34.31,556.57,153,8,1,1220,23,7156,773,1,SIM,7,9
912b5e05811fd24f09f9d65200a1561a4482f166,2014-08-07 16:34:07,0.00,7.65,7.65,1,10,1,1,18,1,462,1,NAO,0,0
a5778cdf01425ae39cea80b62f9ec6740aec724a,2014-08-07 16:33:35,516.22,7.64,516.22,145,10,1,1155,18,7123,462,1,SIM,14,24
f310c0f16b7d30c1f60eb4ae794748ef5d2ba77c,2014-07-29 12:51:27,506.81,36.08,506.81,142,10,1,1132,24,6987,53,1,SIM,35,50
4f1782ef750fb171eb90a1d97b14e2ed3a8a165d,2014-06-16 19:20:45,460.82,3.11,460.82,127,1,1,1077,2,6954,2,1,NAO,0,0
61770f21258a688199c83af2716945c3366f6296,2014-06-11 11:59:55,458.74,0.00,458.74,124,1,1,1062,1,6809,1,1,NAO,0,0
1a09da6ec219883668564d5d6cd30e8867d7e97d,2014-06-10 19:36:04,456.47,3.57,456.47,124,4,1,1062,12,6809,386,1,SIM,21,61
9920ae67b53283192a7396cad63f6d92b80f1a95,2014-06-05 07:28:39,452.76,34.56,452.76,123,11,1,1059,17,6808,281,1,SIM,8,14
99c9930ad626e2796af23def7cac19b65c608d18,2014-05-01 17:49:51,418.72,0.00,418.72,110,1,1,1007,1,6792,113,1,NAO,0,0
8637a40ea8c2b464c02ccad3ae42a66965b1b3f3,2014-05-01 15:44:47,418.63,0.06,418.63,110,1,1,1006,2,6792,3,1,SIM,3,4
b19b60a05c30fa4108c37ddfcabb9313655af652,2014-05-01 13:54:23,418.45,23.09,418.45,110,8,1,1006,15,6792,317,1,SIM,19,27
de7c0e8c021a4cce9be0e6e6a63d42455109ba94,2014-04-08 08:55:57,394.28,11.09,394.28,103,5,1,976,6,6781,261,1,SIM,13,18
a030c7b902b0b8722af4122db78eff40cb81b3fd,2014-03-26 11:42:57,381.59,2.35,381.59,96,2,1,954,4,6513,323,1,SIM,3,4
b444392a98e66b49dfee8c7e36c59d4e7c6ea1ac,2014-03-10 16:50:00,366.63,6.92,366.63,96,6,1,925,8,6110,13,1,SIM,3,2
78d245f5b21eede58e79138330690d63cf3d86f8,2014-03-02 23:54:19,358.09,5.95,358.09,96,5,1,920,9,6109,12,1,SIM,4,5
845e5d345890fabe97d3aa58cbf4e131c91e1559,2014-02-19 09:12:32,346.51,0.35,346.51,94,4,1,882,9,5861,21,1,SIM,10,13
466a9b5c78abef8f6c5261f33df83672d78b41b5,2014-02-17 20:57:53,345.94,0.32,345.94,93,3,1,878,3,5858,179,1,SIM,1,2
0f40eac366dcb509e088f9c08b70e2281d3e745b,2014-02-14 11:05:27,341.79,0.00,341.79,92,1,1,868,1,5854,1,0,NAO,0,0
6b4f72b7ac95bf3ec100bb70e7f6552e9aa18d7e,2014-02-13 16:40:38,338.65,1.10,338.65,91,3,1,862,3,5853,510,1,SIM,1,0
d58c206862dc4f4ffe364cab5bf6b69afc0a52df,2014-02-10 11:21:09,338.55,0.00,338.55,91,1,1,860,1,5847,3,1,SIM,1,1
eadb4f56063ff27781323451987e181fe724ed21,2014-02-08 16:45:27,335.60,10.99,335.6,90,10,1,855,17,5846,237,1,SIM,7,12
c37e1b7c4be31e9955c36c6c5bcad4f200a55c8e,2014-01-27 11:02:59,324.48,1.92,324.48,84,2,1,813,5,5823,7,1,SIM,2,3
c1b1f312035644fd33cbc59cacd7980e7ed432da,2014-01-24 19:13:50,321.51,7.97,321.51,84,6,1,810,17,5816,214,1,SIM,9,12
