Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo
a9b0f7b3706a96f5e45df297bef3dd831717732f,2,1,1
4b9795d4a0db5746c7030ad6f2cab6689e56885b,1,1,0
51b9ec26a51330269a33d994be1c1e448a2f81b1,1,1,0
189c72faa75904ef8c9001d594193f1dbb38f40f,1,1,1
c7be2b684a03139e2b81c48fb332751910caf50d,1,1,1
c5b3dcd91f7a7c15819e465f327ba980127a7a3a,1,5,0
f8746aed615a6f65f54e6909eea71231f990b3ea,1,1,0
b6ea65177af9e358a920ef88a95378dbea077df0,1,1,0
80a40e550c3b89b534995b21e89939b34a63e9e6,2,1,1
eaedf537e4b58055dc49750c54ab449cd5a73786,1,1,1
4062b9da64e89cff9afabbe504410f96f82be614,1,1,1
4f69cc27e45251306f149ec7bcc6a4bbb2ee488e,1,6,5
598165f71f550778db9ae7618f54b3be64c0a545,1,4,4
b7886ae8d7f0b95e0b5f1dcbda8eae909763c5b4,1,1,1
6646a1ff7195c4bd6aef9ab8d8e271729f243fa8,2,1,1
605662bc9e5c17e02858aa85191e0429119435aa,1,4,4
7ccea9494be971862ef21eef6e76285fc302c131,1,5,0
a09026f4018139423292638f51a1ba5923e3914d,1,1,0
1ca28961b57684fe9834849725ada7c5409e1d99,1,1,0
f13421fb5d4d8e632d69aa34ee0b4a7c9f2e6845,1,2,0
6b052812a0c3e13d03e07b167cd2bafe1169d58c,1,3,1
ebc3103cad46498555e849f8095cfb82a081cd4c,1,1,1
