Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo
61cb1bce741c4ed0afa0aa1f406afa963cf99555,2,1,1,
a2a127745641feb4c7c6759f5c9b5f5a1b6032bf,0,0,0,
26d314b144d5af0f04c2d712f18ec3a8e877e779,0,0,0,
ffcf92e5c09225b5f291aa117f7cea365b4645af,2,0,0,
ffb9673d478a1146b0f92d8f555c81d1c5c9d407,2,0,0,
5b4f2696e79d9a510cc7e36a609fc823295be061,2,0,0,
3c2d14d0528699a63c38d0cbfabac35fcfbc5fb4,2,0,0,
559913ae1a1a7db0baff28b150d1079194fa6428,1,0,0,
bff1345b6cf56bd88977e43297772be3a03376fc,0,0,0,
b4971d07562b8e759753ecea3fc5b3594b558be6,1,0,0,
f7f002fd20dcebb451e672c1670ecf87ff3175c9,1,0,0,
e9a0f3e0b69eb679fbd72db71adacc573bca53dc,0,0,0,
35bc01f7a3fc462b98a0e99334ae318f0ae86f3d,1,0,0,
d7f7b4f0aa4096df04e88a1b5f8e5e6887e96143,1,0,0,
059a7a5106c24510c0c2772b6db13bc2572340de,0,0,0,
0578c0626eb7e9a9bcc179395e1f4e3fcf9557e7,1,0,0,
9ae30a354590a4f52ba6156b73026942413b2204,0,0,0,
e397159e18ae1c72971cbb01971928341eb7b062,0,0,0,
193da8ff5069d2790604690b662a62f618ef975d,0,0,0,
58a10a2cc9d69f4e7d2ad39c5d9acaf65a517c37,1,2,0,src/main-process/squirrel-update.js,Rafael Oleza,Antonio Scandurra;spec/squirrel-update-spec.coffee,Rafael Oleza,Antonio Scandurra;
4da97a5a87fdd9b254d27d921091cacdfa9e6c7b,1,0,0,
a2f5f593f66843e8f08641135c17e48432999d20,0,0,0,
b6644dfad8f1c4efb2041b3cb06249c60e02245f,1,0,0,
5b61fbaf3a177eb557d51b41d6aea430f2ed2db8,1,2,0,package-lock.json,Rafael Oleza,Max Brunsfeld;package.json,Rafael Oleza,Max Brunsfeld;
28a17d7b41da8c52c8a4b1aaa3ba6f482848d187,0,0,0,
9fdcc9590296e13cae10a3f88190fe3db9a29f8f,0,0,0,
3e1097ff2222e644cfb956415a14541d4749f186,0,0,0,
37c954b44a07cfd81238529eb2e47bf2dec2b931,0,0,0,
a4cfd8494b1a821349b72ce84d61ad3d89d766ef,0,0,0,
639a126eb8d268eb1f0fd18c299c78a2fee407ed,2,0,0,
4bcb51984ecea4e96a32eff52ecb145eed1a6abb,1,0,0,
4027b0b655f40b037283e263808cda2fb0695ecb,0,0,0,
354a432e5f8bd038dab23442f25e196cbeb83093,2,0,0,
5e418c3467fe940841de0f6040c7844a30d80d6b,0,0,0,
7f5899e261c926120802627f4ffc9bd345ab8a10,2,0,0,
e05bb34d4a1595ab9cf5680ac3919e2aa8ac1c1c,1,0,0,
940693458f2e8fee8e1813eb74400f5bf5872a5c,1,0,0,
c2f70b753ee95226fab928403985e6313f5d1d34,2,0,0,
fae8032781e95d405dcdc56cb5108c19b5a7610d,1,0,0,
25c76e253fb8b56295fa89cfa152be52b2b5400a,1,0,0,
32c0bc75e1948180e72ba27e7e25d3d877b7b335,0,0,0,
c7c082f7053921a95298c4eb755aedb3e051317d,0,0,0,
52c0698f76bc6e627c1b339d6d85963db3b2843d,1,1,0,appveyor.yml,Jason Rudolph,Max Brunsfeld;
5ddb665831e6018f0b610f0d0435a87669a6cdb4,1,2,0,apm/package-lock.json,Winston Liu,Jason Rudolph;apm/package.json,Winston Liu,Jason Rudolph;
2ea1f359cbf571cdd5ed562b3d1b15816fd78d3d,1,0,0,
202a6ff09a768233edb2ae184e808f1a6f05cca9,0,0,0,
61ef7ff573cdf1d92a48a2e61d2b70f9ca8aec45,0,0,0,
8430a4a38d71ddae8a2960d6f6ff7fe715ba9238,0,0,0,
a71aca850eb484ad49234b8a6f9bcd7d41c20320,1,0,0,
229e8b9db7da9b0a22e5a8d0b6237db369e13a90,0,0,0,
7aaf836c0da01fb55a48caf152d636e8d76dec3f,0,0,0,
7faea50190a8c6738b6ecee105645ee274a32b6e,0,0,0,
442549eb62c92ba9defc4dd03f3bf8bd2da5fbb6,1,0,0,
6edf4505fa89c2a2d6dc5aedebf6e8ade907ef78,1,0,0,
22c578e8244cf62745271c56ae5918f4ca40e1fe,0,0,0,
c055d9de04b21c4adb8577a0fafd88252c122ac5,2,0,0,
afabe007c1228c1ebed03174941bbd109820f1f6,1,0,0,
0226ae9ffa06fae63bafaf528663e4c3eca8dc0f,2,0,0,
f141ca35a387def331a25d0844c668ff8253f0bb,1,0,0,
93f0184a2583d21667969098175af582e1d01b73,1,0,0,
faa36949d94ad919364f852faf1cb9d9464c10f9,0,0,0,
ecbb9843274b6ba054e971205c27f4cfbca0f233,1,0,0,
197d2f372eecfc6fb2218712c1c60b6f711f01da,1,0,0,
dc328b2618730d5d2bb3373ccfcda06509c72892,1,0,0,
2e6a0acf619feb7011cdd7b642ee10e98eff0887,0,0,0,
fca0681c53cdc03fab24c40350f4f65cfec1dd25,0,0,0,
4827ffd43526858d488042bcf06e27112dadecbb,0,0,0,
33f2bd37eebbabfe5f2cd5b37a15f67a398658d1,1,0,0,
05d67529a7bb29aadeb92638b3eea8aa28cdb181,0,0,0,
bcc07234d60bb821984622901a17ba1ed47a8abf,1,0,0,
e9e6bee195e3c8520fd14d19724819f022bd4496,1,0,0,
a21a2e34fd169de436e52baaedd695feab3c1377,0,0,0,
2d3e332b889bce1e458d154efa608016f47d8b9d,1,0,0,
6b9b4f96f8fd81e573de895f5fb8b444c78760ad,1,0,0,
5f0aad2ec7afd866e70decbb8da165c1078131b9,1,2,1,src/module-cache.js,Winston Liu,Rafael Oleza;
66ecbe209db7af1f66e77700c6e24183bcddebba,0,1,0,
f4be6b1a0800072235670ab8068e41a38d617871,1,0,0,
30c00f88f859d92fe6968dcbd6ce2de57ac1b4c0,0,2,0,
85e10550b4c86c193a182a10b8160255e927a386,1,0,0,
79f68363495d552450175803ef1f3d3aef1d0409,0,9,0,
975f203dc7b4df46db5c3e2fc9e2c8dfa162fdd7,1,3,0,src/main-process/win-shell.js,David Wilson,Rafael Oleza;script/lib/package-application.js,David Wilson,Jason Rudolph;resources/win/atom.js,David Wilson,Winston Liu;
49cb6f4a7b3625cd1e7f9dbd01c9fd0ce4c17bf6,0,2,0,
040d96ca1becf9a517d47e0308f8370a71b05cee,0,0,0,
41840abdc2898eb46c3b6c6c7d8935acdf6e471b,0,4,0,
0580aa11d1c3d3fdbda31f966fabeab8e63d1b2b,1,0,0,
ec59214287e0d77230d11c4426da2966df203d7f,0,2,0,
813d017d1b05cfe161d6d56e65d919ea930c6b23,0,1,0,
0c547301aa0d303077edcf230754c5c87d30b81d,0,1,0,
8e09062c5fcf7ceebff1cc525e12d8ceb211a907,1,0,0,
bc8d95702dee4627b2f5dba9888e49b4d6359384,0,2,0,
88060aeb30608dc08d2e190909ca0b41870d23c8,1,0,0,
219a1f58fffaffac8bbe229fe2f34587e69ff137,0,0,0,
a22dc64543855324dc401c311be9e9abdf49b8da,0,0,0,
948480665f5985fbca0e642dd80e71d3063de0b0,0,0,0,
77dcd96a66f4fe0689b5d8ef4e1fa79f574be91b,0,1,0,
eb495f3ccf0d7e9d3276e83388e79e154413f3cb,0,1,0,
ba7b9e39ec39c7bf3f0c83f8f1001e2846a0fec4,0,0,0,
677bbb7f0b8754787ff9e7bfab4602ba82e13b0b,1,0,0,
1ebfcbae8911175579b17289468126d7d537373c,1,4,0,package-lock.json,Winston Liu,Rafael Oleza;script/package.json,Winston Liu,Antonio Scandurra;script/package-lock.json,Winston Liu,Antonio Scandurra;package.json,Winston Liu,Rafael Oleza;
d8776a5541bd36455e7bfe1876de08ae29656b76,2,0,0,
091325bd0267fdee8bd1047b1965037d5a2e9916,1,0,0,
88019da4ba90bea9df6b17ad7ad83e69118ff407,1,0,0,
752555be7ed6433ba7c53e0ba0c910f8845a49b2,0,0,0,
85dcc6f244ac96ea5f7c34e261bb6ff68ff528f7,0,0,0,
78c0a2881ba7a239d0d414d7f77486d20e89eb14,1,0,0,
0ab0e6595d37e56ce72d1487720c6074c07670e3,1,0,0,
677a46de40cfac8b1a7eeeff3a40be5834016656,1,0,0,
a4c6f31589b8e21306c887f538f56ce4a2c72d03,0,3,0,
55ddf0a8b030b30dd8d84aded2a8e2f8a16fb433,0,0,0,
9d1406cb052f14b2e8961d94a40b0bdd48706edd,1,1,0,script/lib/generate-startup-snapshot.js,Rafael Oleza,Antonio Scandurra;
dc39210cc2c8e2453f756263257fb57f039838cd,1,0,0,
e18559f01c8688633b8abf0257e57f3a18f21f7b,0,0,0,
b79d9088e21970f0dd1d05ed0e2a27765d4b6dd4,1,0,0,
070be18c85a15ce7b5ffac1598d659157a63e3eb,1,0,0,
46997eae837092a2ca1d1c6047bf4b666e7ed3b2,1,0,0,
3d37651ac13789cc546de2ad97683741ed38df1a,0,0,0,
c8d3c7e4c07c03b8e9fa637fa97d20b1a98f2a81,0,1,0,
4e5e2e5293894581a46c23903723255aa0afb7c3,0,0,0,
b07ce96a255bad5e49bc50560f34d7e5e8aa9541,0,0,0,
81b1c150cf0fe9b72181c0a3036e9ea125011373,0,0,0,
98e45729077a5798b2df8b8479d7c82ddc69c8c2,1,1,0,script/vsts/platforms/linux.yml,David Wilson,Rafael Oleza;
2b15c1ed486926f5ab319d9001639137c8c7e4e5,1,1,0,src/native-compile-cache.js,David Wilson,Rafael Oleza;
0994d8ae8011363b3b39c70f35d23493d00f4c49,1,0,0,
da8b1a1a421f38d50aa7d37f5d1a97a400b9a192,0,0,0,
1edf94a24032a8a0e555c3db7aa7de01e5b00633,0,0,0,
6b3e90699b756c270b3ade61829224ea57f9c130,0,2,0,
d35e396055a8a1d810100dbf3814af658f5b7768,1,0,0,
f629070698fb8264f9f2c990f81f9729b610fbb3,1,0,0,
b2ecabd527e59340f3acdc307541f773e8dcc83e,1,0,0,
4e140df5427a5248adf319808b66783516182b38,0,0,0,
1d2878f92ef5ef2bac68c6cc7f2c6f008fac1b75,1,0,0,
db6031db03e8dfe120c589a4ba59df4c0496ab46,1,0,0,
f226bc34e100db3839736b638e500dc17a769ec9,0,0,0,
e15f9faebda7ee0a268423d3876b42d0fa14812b,0,0,0,
31de2b42d0bd7d49e8a36951d22a4da6b549c30f,0,0,0,
32d995ed7091c322df3ee23727efa874841731a4,0,0,0,
bc7ec2d3a83b2616713ba7e929e63552b0809c84,1,0,0,
ecbdb3de757c7e50e83e851011d25fcdc670bafa,0,0,0,
6eb380db5603c02fa21153a8636251a2145dab39,0,0,0,
db40641a84b21c8f9d279bd9416fa033c767fcb0,1,1,0,package.json,Nathan Sobo,Jason Rudolph;
6d00e15c194975c5281de233a3006edd0e0d2f31,1,0,0,
b389240a0602d949bd16e79a2316fb96f26ac69c,1,0,0,
f1952c2fc19e96585fc836918da776ee11eab997,0,0,0,
aca5492d37b9f302d87b420772f6c6231112198b,1,0,0,
5302cf92b3872bdad8957c6d51f2d29137553466,1,0,0,
833cdd0c2901303ff313f7d9cc3135319c6879a8,0,0,0,
fa100866cb35538feb7169272bc6ef55854af959,1,0,0,
0d80191516a13e0aecd304df99c9fc063c82c12a,0,0,0,
7eec85543916b1f0c15d0c4fd2909e714f0ebe0a,1,0,0,
2cf285bc362b0be8e35d3c28ce3b1a1a27b0490d,1,0,0,
3ee3641525182fbb0d0daabc8ece32304d786eb0,0,0,0,
4d7f7dea41c36c6c7b039d97561216fd560f6417,0,0,0,
2a7ddf0d224aa8941dd523eabc2c19e012054da1,0,0,0,
7e4dfa941726060df21542f2b3c69ac7333c4b27,1,0,0,
dffe4556681dcca704746162136dcb12e4cd71b1,0,0,0,
4fe8dbfe084d7fa47aac0276cab5d1d4926a4b89,0,0,0,
5d907587533ea046460cba357cd8039a95bd3039,2,0,0,
d846bd5e87ea13cc6858c4366b46e54bea3b8e6c,1,0,0,
9642e3de93d2dcd16897b13edf0446ce612538d1,0,0,0,
dbb6c7b1b6457d2bbd4f08a39d07f30f969c2c83,1,2,0,spec/main-process/atom-application.test.js,Winston Liu,Rafael Oleza;src/atom-environment.js,Winston Liu,Rafael Oleza;
41d934fc027913e43aab9af81d4b41dcac394627,0,0,0,
165a297d3103b336a2cd76c86ea04e8351b7fb1c,0,1,0,
cdb5ac98caa511d7f157c7a91297d40eea40044f,0,0,0,
28e8099953a7e969d07e692eb3c4024eaed2231c,0,0,0,
1a767bcc6068fca7f8fee4ed3472b39716abb941,1,0,0,
a0e9bb785f463ec28a91f4b8ebbdc3e3de126d90,1,0,0,
758fd9d75c7109b756a1726a47e94b04b04be39b,1,0,0,
f3f32c45ccdc4f664e499668a5e7815a5ec1b284,1,0,0,
bca3e5bcfd7df29d32f3b66a86649f084bfffa5b,1,0,0,
406e0333237d75844705f7abcd7378cf79b42f81,1,0,0,
2f93a5c03e8495e3adc565a9e33c4c6a04b19f60,1,0,0,
1907d2da40f6b97751a4ecde962941e5d96ce19b,0,0,0,
d4d14a402cfa5001e7267e5314e229d316ab2f41,1,0,0,
cbd4641fe26145f9d40e8d56fc7b5d8220da3c49,0,0,0,
eb62e310b980d830a1b17ffec95d6f5dc8f66434,0,0,0,
6d3ebfafc9abfced5582afd90f92908f629a05bf,0,0,0,
275499b8b3faa937b0294d37c40bc7841e41b2dd,0,5,0,
ce2e2117d8f50537e9f88c9f71f1b3a742aa45e3,0,0,0,
4a29f442bb88dd1aba5166d7223e86c23b01b32a,0,0,0,
b89fa55ab75c353fa52b9a4554ca0bb1a06f1512,0,0,0,
a0f41e7d8280fd76605b20ac5b0fdc0162122542,0,0,0,
57d00b6f09f0cde238401e64478d72714f90a7dc,0,0,0,
ca5401a7301f8cac758e5326116fe15b82268217,0,0,0,
218086d379bb3a69d7dd777d4ddb6cec480f0b49,0,0,0,
79f4bfba181f8a26bbbb4d9da60888454066d734,0,0,0,
e0755959dadbbd99c1b809594e6ef52d0e3546d9,0,0,0,
386b1538788358e211fc885bae31f9e3808b3425,0,0,0,
3ce4dcc354396f7e88368db328e31c81b6220e85,0,0,0,
b50818e7732cb87f9a57438b466d412eb7881843,0,0,0,
7af03ddd02fb37031b5a093de90db397f4131b42,0,0,0,
2656d4a846ba37a335d1dca767a352a2ec613903,1,0,0,
53c02025ffc4f59d710cb026ad24035e9bc90f98,0,0,0,
382838723f723a613d68df5c01bffd908de3b215,1,0,0,
128e6b059fedd5e251f30332bdd6b35445556af7,0,0,0,
3f67989b3b27d4c9e4c77336e0b1567c342cae12,2,0,0,
30d94ee897eb2178b234ad96ca6fb047d72fec52,0,0,0,
859286b85cda507741dfcccd18d9af9eb42dc610,0,0,0,
b6bf3a5c5d2d74c998cb953131d516e854893288,0,0,0,
c1d270dd2a4ebb42100d25cf65537110b5a4d985,2,0,0,
401a5a7d0a3b75acc06d8d6b4e73754ed3ebe2b1,0,0,0,
cd3d2ab82e4f6828338827b13d0ac954787e5326,0,0,0,
eb47ae467ebc80b6bc425c5a7c025485c01136d4,0,0,0,
8dcdae902ac9f6c2475c749660e5708d64777f81,1,2,0,packages/grammar-selector/spec/grammar-selector-spec.js,Benjamin Gray,Rafael Oleza;packages/grammar-selector/lib/grammar-list-view.js,Benjamin Gray,Rafael Oleza;
70f771af5398a68a5c1d573e2d71eb29bcc44e61,0,0,0,
6c88a7d303b79d0a842585a42744714cc91ca964,1,1,0,package.json,simurai,Rafael Oleza;
f4685ac7ff97388449d369f20da60455e0bf4ac1,0,0,0,
a5a5097a450947a87d17b49be77c450e15ee8068,0,0,0,
e26f5615435934bd1d276873f8305fa1d35da2e1,2,0,0,
679b4631e15a0538f9a0832fb43652e36025f797,0,0,0,
e87e5562b31b53cd2ebb3eb97068f8356a7dc695,0,0,0,
