Hash do merge,Data do merge,Tempo de isolamento 1 (dias),Tempo de isolamento 2 (dias),Tempo de isolamento (MAX),Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
9b68eb7af2f1b402fb3402e8c956b2a591bd8303,2019-05-06 12:27:44,26.88,26.18,26.88,3,5,1,18,22,28,43,1,SIM,4,4
9a4fa16db930f1af2d49dbf8c745957673af6e2c,2019-05-03 14:29:48,24.16,17.09,24.16,2,4,1,38,6,50,15,1,NAO,0,0
f888e6f1c63e4a8ac9725b35fce79e1c31ccc6c6,2019-04-29 10:41:01,3.17,14.01,14.01,3,1,1,12,15,25,24,1,SIM,5,5
da8796d2d17f1edc97d8faecb5d4c9d31966df4b,2019-04-12 19:25:51,3.14,0.00,3.14,3,1,1,11,2,22,2,0,NAO,0,0
b144634e3489f378314651a7a13a09a658760d4f,2019-04-12 17:44:54,3.10,4.05,4.05,3,1,1,7,13,17,18,1,SIM,2,3
b46cc099ffd3ed579f8be599148807a60b04c46f,2019-04-12 17:33:24,3.09,4.05,4.05,3,1,1,7,13,17,18,1,SIM,2,3
44e293b741112ef76ceadb38873e1bb4886d1366,2019-03-19 13:10:35,163.85,14.90,163.85,7,6,1,123,7,130,11,1,SIM,1,7
986e0a3e8444eafb276e59e59065c0333268480e,2019-02-28 14:52:51,0.03,0.00,0.03,2,2,1,8,3,5,10,0,NAO,0,0
eda0146266aecb6c36735ddf19c9b9add4044cd7,2019-02-28 14:52:05,0.01,0.00,0.01,1,2,1,2,6,2,3,0,NAO,0,0
24e8d1d6f92a31d7576dd7a4c793261fc141ada0,2019-02-27 11:07:36,0.14,0.00,0.14,1,1,0,6,1,24,1,0,NAO,0,0
c842d216a3502269fa8049369f4da1679b5d424a,2019-02-08 11:44:54,121.08,0.00,121.08,6,1,1,94,1,110,2,1,SIM,1,1
419ff7ce922a8d69cc31474668b4670b06ce3e62,2019-01-31 12:02:41,11.22,16.78,16.78,9,1,0,50,18,69,7,0,NAO,0,0
cdb58546628d41ed631b10adedae632ba488d75e,2019-01-14 10:42:51,99.81,0.76,99.81,5,5,0,59,5,61,19,1,SIM,1,1
991ff6d6203b1cd6d0e6bbd1899a10df4f0d76e0,2019-01-10 11:32:02,92.17,2.83,92.17,3,1,1,51,2,58,6,0,NAO,0,0
e25415927f54bd3737b47120949f84865c9f8bdc,2019-01-06 19:10:45,91.08,1.15,91.08,3,3,1,50,15,58,18,1,SIM,4,4
7acf0301106f7e43a29fc7e6fc7dc25d2419cd52,2019-01-06 19:06:03,68.51,0.16,68.51,7,2,1,15,12,30,16,1,SIM,1,2
40d0fc5dfeadfd8f18b91777d59f8d42b8043a05,2018-12-06 12:21:52,52.87,0.06,52.87,3,1,1,30,3,29,8,1,SIM,2,2
2de35f4d29d52ed68db07d2bfca9e6164283f234,2018-11-28 11:16:44,47.92,27.36,47.92,3,5,1,26,9,27,17,1,SIM,1,1
69474302e2de7dfbfd467149fdf5dceb6c4563cc,2018-11-23 13:03:47,1.57,44.01,44.01,1,13,0,4,62,11,70,1,SIM,1,2
f4ebac54aefc0459dfaec090a8063e020da2f076,2018-11-23 12:22:03,24.00,22.37,24.0,11,2,1,47,2,50,1,0,NAO,0,0
