Hash do merge,Data do merge,Branching Time
5062387360670e9d9896834b3ad56a8d1be21e90,2019-11-12 12:00:25 -0500,0.0008449
979be57303fc7de47186713be31b16331aabcf3e,2019-10-06 11:59:37 -0400,1.3390972
6fe07ebf5ab3fea1860c59fe7cdd2ec1b760f9b0,2019-01-11 18:26:32 -0500,30.2457176
43485fbc5b779e02122c3b7fc64296a2cfee31f6,2017-05-18 16:56:05 +0800,4.2085995
e7a066fe6164cef52ae62974529e32b5ecd15649,2017-04-05 16:04:58 +0800,1.0345370
82bc8b7429d58efd517d1b064fbbf78eb888d85d,2017-03-09 10:33:21 +0800,0.0481366
837b0b224b5405173e57a9c41cb2afe6686f6bd0,2016-08-11 08:48:44 -0500,2.3239699
0fd43c9653b38bdd8fa81752ec4ce421bfc38c3f,2016-05-26 18:16:40 -0400,1.6453356
270b0ac021ee5bfff6b2ed1eacaf91a09f2a9d5e,2016-05-08 14:51:11 -0400,3.8900810
f1bf59d97bc713115e0c4c2b935400b25c71ef4d,2016-05-07 15:03:33 -0400,9.0011111
35087ba47b0d1e76cc2dbfc23b0c480798956162,2016-04-01 16:08:27 -0400,39.5111458
be7339b38ad5083fd0d0baaa2eb9f508b5f9ce23,2016-03-31 14:52:41 -0400,2.4218287
fb876ef15b0f8c02897a7fa61bf283d80c6ab0ec,2016-03-29 14:32:36 -0400,7.6797801
e831412f2a4fbf89f66c13aab0988976adc8ff72,2016-03-28 19:08:15 -0400,0.6536574
a325d461a3009fa104cc497dd88fd7d491a1ef95,2016-03-25 01:08:36 -0400,0.1221528
c748bb3e6ed2ef41ddde79134a0c690232a4bcc9,2016-03-21 13:33:55 -0400,0.8233912
6ff1290fd9a9e19a9208eec10c8b6cddba3a8986,2016-03-20 21:47:29 -0400,0.0624421
5a51b4ade75dea344c5a35fb3048e8359a1387fe,2016-02-27 23:53:44 -0500,2.6522685
4d090230595e78f9beb6b0a32df3b64aea972d84,2016-02-15 15:06:33 -0500,0.9782407
0b907f7027b432288277379a56e360d487e890c9,2016-02-06 10:34:08 -0500,1.5982986
e4accfc876572dee0aa5e8820c9dadb283376183,2016-01-22 12:18:14 -0500,6.3148495
6002ed242929f90786456c4e150453f9198ad258,2016-01-20 22:52:06 -0500,30.9538079
45646f1ef29c705cf6c4d066b230ddcd68f8b36b,2016-01-18 12:45:49 -0500,3.3974653
a17ab47cfe555d422a76cce83e55db4ac693a115,2016-01-18 12:24:37 -0500,3.3750463
38163666a1a412bd6ef585e89bad79581154f42d,2016-01-18 12:02:57 -0500,0.9793287
f57ea7c8492d84e88ea0f0c3670c10ecf2b7e88e,2016-01-15 11:35:00 -0500,0.7050231
fa53d9646ec67673cb584821807065e981c753b9,2015-12-23 21:37:23 -0500,0.3953935
52f6cfcd984236aba49a57cfb1984aac988721b0,2015-12-21 22:43:27 -0500,0.9478125
146002a0647538375bd541ad5cb1c159ac017c71,2015-12-10 10:31:11 -0500,8.0111574
f819514e0ed775e34aed4416ab79c0b317574a9f,2015-12-02 11:09:34 -0500,0.9301620
904b90565bbb39b911aec19a70cd8abf45bf0bf9,2015-11-16 11:10:05 -0500,0.1996065
ffe5825a0d98f6455523a64b543d63c16649adc4,2015-11-16 10:50:44 -0500,1.2976968
fd196980c38824a898c93c5eda574f7d8122b8a7,2015-11-10 10:46:56 -0500,2.3793519
0a76d21a19a5216eba42fd05c7340689b80e74ef,2015-11-09 10:47:05 -0500,0.8860648
d7ef64363fa37d0d184ec5652eb3d5eb538b8b15,2015-11-04 15:02:28 -0500,0.3915278
1f7a45a383beab354462b6d321102b1ec76da1b2,2015-11-04 19:07:52 +0000,0.0499884
09d268511c4a271457bc7cea530e83fedde73cb5,2015-10-28 09:38:56 -0400,0.4976042
cb66dddd00ca82be915c47ca97092b6f8b23f45b,2015-09-10 13:21:55 -0400,0.1350810
1d43566b3b4f0c511339f0aeffb2d714e20fe90f,2015-09-08 12:46:18 -0400,2.3257639
1fa16a067d9c4a2f4b3e09a8aeb9829624aa2faf,2015-09-03 11:28:19 -0400,0.1859491
b73e77c883f661de2c0db765c0ab704213544f65,2015-08-11 23:05:07 +0100,2.0054745
ce16e4ef664948ab029b11b553503da5e2fdea49,2015-08-03 15:07:12 -0400,0.1022454
71329c3263dbf3aaf15c85675dd465bbcde6f0ba,2015-07-15 20:30:32 -0700,17.1720718
d8abbfc267c292138794c7b0ceaeaa6844b3ea25,2015-06-14 03:00:37 -0400,0.4802894
fd0113c658848bbfe111dbf36796c1c83b43ecf0,2015-06-14 02:59:11 -0400,0.4170255
0eb22774e69c29512d25e5abcb786037f47fd759,2015-06-06 14:18:48 -0400,0.0768866
8639749d58756242412f3c4de04b95c6b19cfc8b,2015-06-06 13:42:38 -0400,0.0535880
c0139e505769b3cc19aefa1014ff155071294a3f,2015-06-04 12:43:36 -0400,0.0525347
af0f69a512ba414a6857ec079bfc6475e5253c45,2015-04-29 10:27:45 -0400,0.1804514
9099bd66ee83b55a947ce7694786737db23c8902,2015-04-17 11:51:32 -0400,0.6328935
f910124ee4741148b33e0ef7d36f172f0b3ed82b,2015-04-06 11:03:47 -0400,54.7955903
9041f2f21692dab8f5f45c26e7c618cf1fd1b6b2,2015-04-04 21:38:01 -0400,0.2894097
67759d24d67bd8c31ce2045b82183e2d53457764,2015-02-21 13:06:42 -0800,0.6947338
00bb10ee85d8960f06b36893a6caf097eb4b35a7,2014-09-13 16:40:47 -0400,2.0093403
20f0aaa915e1ef2a726498448721affc9afcadb4,2014-07-08 17:05:42 -0400,27.0759375
f3a169835a241dc3bb29b378199cfbcb69c8a061,2014-06-11 17:50:26 -0400,0.7745486
6606ac401e5ea74f4d8955f1e06afd0311de0beb,2014-02-09 20:29:09 -0500,0.1528472
1946a51486fe0aaff278afdffbf1fd247b21da7a,2014-02-09 19:50:51 -0500,0.0485764
