Hash do merge,Data do merge,Tempo de isolamento 1 [ancestral](dias),Tempo de isolamento 2 [ancestral](dias),Tempo de isolamento 1 [pai](dias),Tempo de isolamento 2 [pai](dias),Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
ae8746e894268b1e94c9d4f163273b46319ff76e,2019-06-06 01:42:44,0.0000000,11.3065972,21.5751736,61.0287384,62.9937037,1,1,0,1,9,1,6,0,NAO,0,0
bccafee8286a4f828a6d7681833447396d6b55b6,2019-04-04 01:51:48,68.2975463,12.9617708,18.9887153,20.0962269,21.1054167,1,1,2,8,2,14,2,1,NAO,0,0
da066ce334a47f61fa5d450b622dc1e98dcad782,2019-03-14 21:27:26,30.2961343,0.0000000,31.2993866,50.3120833,51.2339120,1,1,2,6,1,12,2,0,NAO,0,0
499f9ae627d71866054dfb93ab90082f47a2ca8e,2019-01-22 16:50:36,167.1025347,0.0000000,42.0173495,42.7441204,42.7600231,1,1,2,12,1,14,2,1,NAO,0,0
65be6dfa422c48d8abe0ef034897efc82a934a83,2018-12-13 12:31:15,122.8552546,0.0246528,1.0438889,3.2738194,5.8537384,1,1,2,10,2,11,2,1,NAO,0,0
a9b0f7b3706a96f5e45df297bef3dd831717732f,2018-12-08 17:05:04,106.0441319,0.7132986,194.9921412,210.7593750,211.8032639,1,1,2,10,3,11,2,1,SIM,1,3
01492a15efad08315b117fc4c28ac4a33906402e,2018-04-12 23:02:07,0.0066435,0.0000000,0.7512500,1.8387963,1.8497454,1,1,2,6,1,2,2,0,NAO,0,0
1eed61d91daf9d0c379c06e9dc06f398916207e8,2018-01-27 18:30:21,1.8456366,0.0000000,5.8986227,5.8910417,8.8297454,1,1,2,2,1,18,2,1,NAO,0,0
50117e2b28afcde34044dc344ccc056bda0a976f,2017-09-11 14:04:24,0.0000000,22.0497801,36.3629977,34.2821644,43.8680208,1,1,0,1,8,7,7,0,NAO,0,0
486a3766bf853b28bb65b736781a18c06f2e29a8,2017-07-29 17:14:27,0.0000000,6.0352199,12.8277431,12.8343403,14.7546759,1,2,1,1,4,1,2,1,NAO,0,0
172435893d516cd649509850a4471cadb9be6f7e,2017-06-21 23:58:29,0.0000000,10.9097222,22.7670833,43.0860880,44.1463889,1,1,0,1,4,1,8,0,NAO,0,0
3aed64e1dee05a2c368f9280e429b476408ff220,2017-05-08 20:27:41,564.8077083,564.8453009,4.1664352,4.2040278,4.2049653,3,1,1,11,1,19,1,1,NAO,0,0
afbfbd1634e3bca73945ffd394afdf1c85e2d75a,2017-05-08 20:26:20,560.5742245,0.0000000,560.6657639,0.0244907,564.8697917,2,1,0,3,1,2,1,0,NAO,0,0
fac878547d2aa5397b1187fb07f493fecc536c55,2017-05-08 19:32:12,179.9699769,564.8014236,564.7399421,564.7343750,564.7406597,2,2,0,4,10,7,13,0,NAO,0,0
4b9795d4a0db5746c7030ad6f2cab6689e56885b,2017-05-08 19:31:10,560.6657639,0.0000000,595.8039005,477.8728472,599.9696181,3,1,1,4,1,3,6,1,SIM,1,0
57f030bfcd22f431fd39734c95874c0adeb1500f,2015-10-25 04:39:13,3.1416898,0.0000000,3.0746412,2.7727083,3.0788657,1,1,2,1,1,1,1,0,NAO,0,0
31fff442124128257ec97de50411ff59534a8bf6,2015-10-24 20:43:25,0.0000000,0.0000000,0.0915394,0.0244907,2.8399884,0,1,0,0,1,0,1,0,NAO,0,0
edd6415bf289e4da7c8d5c8c7d4558470a9032b7,2015-07-02 14:46:38,0.0051968,11.3870139,11.4161806,11.4157407,11.8090046,1,2,1,3,4,3,7,1,NAO,0,0
29bd948d2f593d97bb0ebf26ac962a1004263dd5,2015-06-20 20:12:32,0.0000000,5.8872569,17.7027662,17.6740394,17.7093634,1,2,0,1,6,4,8,0,NAO,0,0
4e2af54db2ac07091d552576ca09d87e847a6405,2015-06-19 06:05:33,0.0000000,0.0000000,4.3342824,2.2153356,4.3343981,1,1,0,1,1,2,1,0,NAO,0,0
51b9ec26a51330269a33d994be1c1e448a2f81b1,2015-05-11 06:43:41,91.7002662,0.0000000,24.5833333,12.3824421,24.6263194,2,1,1,43,1,637,4,1,SIM,1,3
4e848cb81291e2a7e52c6cce8bc6584a9f755517,2015-04-22 14:01:31,73.0312731,0.0000000,36.6936458,30.7793056,36.7096759,2,1,1,38,1,635,1,1,NAO,0,0
e08dc42cab190c3f917e1c28f482a687c4a8bf2a,2015-03-19 17:48:34,39.1921065,34.0970023,38.8722917,36.0178125,38.8851620,2,1,1,9,2,223,3,1,NAO,0,0
c1be37271fa72ba5baec5832721a35e55fb8fcc3,2015-03-19 17:21:37,36.6146759,35.0749074,36.6214583,31.3759606,39.1930440,1,1,0,2,4,97,19,1,SIM,4,4
41af234df7e30e32f29622dfa58ec147c0439251,2015-02-08 20:03:25,0.0000000,17.3239468,56.9189005,60.6178472,60.8815856,1,4,1,1,16,1,98,0,NAO,0,0
189c72faa75904ef8c9001d594193f1dbb38f40f,2015-02-08 04:07:53,15.9983333,0.0003125,59.2922338,60.2165278,60.2180208,3,1,1,12,2,98,4,1,SIM,1,1
c7be2b684a03139e2b81c48fb332751910caf50d,2015-02-07 00:01:55,148.0012153,15.5928704,59.0461111,58.8872222,59.0476620,4,2,1,18,4,104,9,1,SIM,1,1
bf528aae109432e654a544a3dfffd7e24f8e0b9a,2015-01-30 01:10:02,0.0000000,0.0000000,0.1993056,0.1224537,0.1995833,1,1,0,1,1,90,1,0,NAO,0,0
0d7b0e3bc2569040f50cb19498adb7e41fcdf440,2014-12-09 22:53:56,88.6193287,0.0000000,4.7785185,5.1142940,5.1147454,4,1,1,11,1,11,1,1,NAO,0,0
12688a1443bc31e3722941b05db2e948fcbdd022,2014-12-04 20:12:22,83.7752894,0.0299074,13.9540046,14.0195255,14.0220718,4,1,1,8,2,5,4,1,NAO,0,0
dba67c8efd28b639c98021ee735317de99bf3bab,2014-12-04 18:34:21,62.5409838,0.0000000,29.8496528,37.1299537,51.0839583,4,1,1,8,1,5,1,0,NAO,0,0
2dfa273dc3e8d4248f822a95c66b43bc05683d43,2014-10-14 15:47:32,24.9464236,0.0000000,35.8970718,43.6419792,43.6517593,2,1,1,3,1,2,1,1,NAO,0,0
7c5512ce91829240dbebb246fdb52c537e99c9e1,2014-09-01 00:09:00,0.0000000,0.0753125,0.0454282,0.1565162,0.2187037,1,1,0,1,6,3,9,0,NAO,0,0
e82315c3efeb7b29dd43792fd77d840c229d7dcb,2014-08-31 18:54:04,160.1601852,0.0000000,18.9111111,18.9394676,18.9466898,4,1,0,114,1,138,2,1,NAO,0,0
fdb59758cc4d56c29811d4cc743127b5f91b23bc,2014-08-12 20:16:51,141.2444560,0.0000000,79.1082986,79.1129167,79.1170949,3,1,0,99,1,137,2,1,SIM,2,3
66c66485adf3a73daaad7064e3995b50d6951a15,2014-08-11 20:59:37,140.2785185,0.6172801,30.8761227,30.8686690,30.8805556,3,1,0,91,1,137,3,1,SIM,2,9
9b3c7d003c363dd90164fd465f15fb2031e21df8,2014-08-11 20:42:30,0.0491898,0.0000000,1.0864120,31.3378009,31.9550810,1,1,0,4,1,6,3,0,NAO,0,0
943d1fa6052fdef92c181f1ba667d2b826b992ca,2014-07-11 23:52:20,109.3879167,0.0000000,0.0043519,0.0188310,0.0193287,3,1,1,76,1,106,3,1,NAO,0,0
bb3917d36019b5f9600b1fdfda7d02c4a2e19bd0,2014-07-11 23:26:50,108.7318981,0.0303588,0.4159144,1.0675810,1.0692014,3,1,1,75,3,106,5,1,NAO,0,0
611362b93b2a0fe649ca1648365fc294b52856d5,2014-07-10 23:58:10,106.4614815,0.0000000,44.2837731,46.1382755,46.2292361,3,1,1,72,1,105,2,1,NAO,0,0
d8df41f63f719fa0a90902496c562bb5781df238,2014-07-08 19:08:29,0.0409954,43.3660185,8.7310764,8.2480440,8.7338194,1,2,0,3,13,4,57,1,SIM,2,3
c5b3dcd91f7a7c15819e465f327ba980127a7a3a,2014-07-08 01:43:36,27.3856829,43.1207870,37.1777894,43.2600347,43.2654282,3,1,1,27,4,34,36,1,SIM,5,7
b0f3c0ba3d30acc19880f25b744b9eae89e6ba59,2014-05-25 18:29:03,62.1502315,0.0000000,25.4915046,25.5189815,25.5196644,1,1,0,21,1,33,2,1,NAO,0,0
f8746aed615a6f65f54e6909eea71231f990b3ea,2014-05-25 17:48:30,41.7275694,105.9861227,21.3384954,41.7470833,41.7611574,1,2,1,19,10,30,39,1,SIM,1,1
b6ea65177af9e358a920ef88a95378dbea077df0,2014-05-25 17:28:14,80.5086921,0.0247917,16.3142477,0.0445949,41.7916782,2,1,1,10,2,39,8,1,SIM,1,1
80a40e550c3b89b534995b21e89939b34a63e9e6,2014-04-27 18:56:28,24.0210417,0.0732176,3.6765625,0.0930208,13.8529514,1,1,2,5,4,2,15,1,SIM,1,1
eaedf537e4b58055dc49750c54ab449cd5a73786,2014-04-16 06:39:45,0.0000000,65.0703935,0.6046991,66.9512731,67.1404861,1,6,1,1,41,5,89,1,SIM,1,2
fb32f8bed21d941ae7a7534e48d5477f6e712f5d,2014-04-16 02:07:17,28.6926042,21.9315625,7.0024074,9.1531481,9.1545370,0,2,0,0,3,0,12,0,NAO,0,0
